model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      1.538495E-010      1.961338E-008     -2.071947E-009     -3.638347E-009     -3.323995E-009      1.044668E-015     -2.780956E-015      9.071263E-015      1.600092E-013      2.499854E-009
      1.961338E-008      6.213180E-004     -1.397712E-006     -1.437733E-004      4.003939E-006      5.820100E-011     -1.310135E-010     -1.241238E-011     -1.536172E-008     -8.750858E-006
     -2.071947E-009     -1.397712E-006      8.487837E-004      4.158864E-006     -2.002924E-004      5.690548E-011      1.562995E-010     -1.251996E-009      7.106646E-009     -3.002236E-005
     -3.638347E-009     -1.437733E-004      4.158864E-006      7.360850E-005     -5.848797E-007     -5.411784E-011     -1.264238E-011      4.114662E-010     -1.252748E-008     -9.688130E-006
     -3.323995E-009      4.003939E-006     -2.002924E-004     -5.848797E-007      1.027634E-004     -2.220429E-011      1.460897E-010      1.107445E-010      4.689993E-009     -2.708997E-005
      1.044668E-015      5.820100E-011      5.690548E-011     -5.411784E-011     -2.220429E-011      1.675140E-014     -1.942346E-014     -1.166863E-013     -3.761647E-014      1.885948E-012
     -2.780956E-015     -1.310135E-010      1.562995E-010     -1.264238E-011      1.460897E-010     -1.942346E-014      2.235103E-012     -2.229441E-012      2.508872E-013     -5.391679E-010
      9.071263E-015     -1.241238E-011     -1.251996E-009      4.114662E-010      1.107445E-010     -1.166863E-013     -2.229441E-012      3.784360E-012      2.212200E-013      2.634666E-010
      1.600092E-013     -1.536172E-008      7.106646E-009     -1.252748E-008      4.689993E-009     -3.761647E-014      2.508872E-013      2.212200E-013      7.579911E-011      4.010321E-009
      2.499854E-009     -8.750858E-006     -3.002236E-005     -9.688130E-006     -2.708997E-005      1.885948E-012     -5.391679E-010      2.634666E-010      4.010321E-009      1.663268E-004
