model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20191213      2458830.0     3689.      3.904576E-005      8.027620E-002      9.459950E-002      2.630411E-002      3.166667E-002      4.135786E-007      4.428769E-006      6.626271E-006      2.113296E-005      4.608869E-002
20191214      2458831.0       95.      4.086287E-004      7.424050E-001      8.834196E-001      2.748120E-001      3.215385E-001      5.038291E-006      1.475872E-004      6.946288E-005      8.044738E-005      5.711981E-002
20191215      2458832.0      438.      1.216064E-004      2.455003E-001      3.050731E-001      9.622155E-002      1.253314E-001      1.373430E-006      1.313908E-005      1.920299E-005      7.775668E-005      8.523204E-002
20191219      2458836.0      419.      1.122000E-004      2.636507E-001      2.978522E-001      8.607237E-002      9.959996E-002      1.179224E-006      1.354275E-005      2.165427E-005      4.831478E-005      6.330135E-002
20191221      2458838.0     1356.      9.401313E-005      1.594228E-001      1.957527E-001      6.844934E-002      7.863038E-002      1.010336E-006      1.095955E-005      1.199303E-005      4.309398E-005      1.169420E-001
20191222      2458839.0     1009.      1.199501E-004      2.036868E-001      2.670752E-001      9.051568E-002      1.104872E-001      1.220729E-006      1.158598E-005      1.421374E-005      5.932938E-005      2.428282E-001
20191223      2458840.0     8778.      2.870757E-005      5.819782E-002      6.679178E-002      1.950629E-002      2.297470E-002      3.003146E-007      3.660532E-006      4.451213E-006      1.780100E-005      2.835378E-002
20191224      2458841.0     2577.      1.547171E-004      2.396512E-001      2.432218E-001      1.103325E-001      1.225012E-001      1.272946E-006      2.351578E-005      1.631100E-005      8.259201E-005      2.089545E-001
20191225      2458842.0     2921.      8.838433E-005      1.602426E-001      1.784546E-001      6.021900E-002      6.989001E-002      7.913737E-007      1.359754E-005      1.143552E-005      6.068302E-005      7.894827E-002
20191226      2458843.0     4432.      3.789522E-005      7.842377E-002      9.216470E-002      2.468935E-002      2.915331E-002      3.965974E-007      4.819637E-006      6.562036E-006      2.718217E-005      4.258677E-002
20191227      2458844.0     5587.      3.075283E-005      6.558296E-002      7.712389E-002      2.328941E-002      2.813216E-002      3.265217E-007      3.395737E-006      5.069145E-006      2.059724E-005      2.803752E-002
20191228      2458845.0     8345.      2.611316E-005      5.441799E-002      6.385079E-002      1.785985E-002      2.121155E-002      2.735600E-007      3.138345E-006      4.494963E-006      1.977721E-005      2.329494E-002
20191229      2458846.0     3463.      4.768133E-005      9.245267E-002      1.105649E-001      3.361060E-002      3.886112E-002      4.975148E-007      4.670561E-006      7.554614E-006      2.943726E-005      4.055671E-002
20191230      2458847.0     9503.      2.410441E-005      4.977819E-002      5.798467E-002      1.672951E-002      1.971860E-002      2.513085E-007      2.602999E-006      3.986401E-006      1.713945E-005      2.150823E-002
20191231      2458848.0     2599.      4.597002E-005      9.843818E-002      1.175535E-001      2.874892E-002      3.484411E-002      4.968756E-007      7.331382E-006      9.090458E-006      2.534975E-005      3.702368E-002
