model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20191213      2458830.0     3689.      1.    5.00E+000      0.9640      0.3580      0.0029     8.016    -0.226     9.707     9.332     8.813
20191214      2458831.0       95.      0.    5.00E+000      0.9115      0.3760      0.0029     8.300    -0.300     7.684     7.581     7.703
20191215      2458832.0      438.      0.    5.00E+000      0.8376      0.4195      0.0029     8.300    -0.300     8.486     8.168     8.086
20191216      2458833.0        0.      0.    5.00E+000      0.7459      0.4854      0.0029     8.300    -0.300     7.685     7.712     7.908
20191217      2458834.0        0.      0.    5.00E+000      0.6410      0.5682      0.0029     8.300    -0.300     7.956     7.815     7.849
20191218      2458835.0        0.      0.    5.00E+000      0.5286      0.6622      0.0029     8.300    -0.300     8.442     8.220     8.106
20191219      2458836.0      419.      1.    5.00E+000      0.4147      0.7708      0.0029     7.945    -0.482     9.604     9.069     8.403
20191220      2458837.0        0.      0.    5.00E+000      0.3053      0.9138      0.0029     8.300    -0.300     7.726     7.611     7.666
20191221      2458838.0     1356.      0.    5.00E+000      0.2062      1.0613      0.0029     8.300    -0.300     7.960     7.864     7.901
20191222      2458839.0     1009.      0.    5.00E+000      0.1232      1.2310      0.0029     8.300    -0.300     9.577     9.063     8.673
20191223      2458840.0     8778.      1.    5.00E+000      0.0596      1.4066      0.0029     7.606    -0.005    10.537     9.972     9.245
20191224      2458841.0     2577.      1.    5.00E+000      0.0185      1.5722      0.0029     8.523    -0.152    10.280     9.632     8.786
20191225      2458842.0     2921.      1.    5.00E+000      0.0010      1.7510      0.0029     8.460    -0.165    10.421     9.863     9.083
20191226      2458843.0     4432.      1.    5.00E+000      0.0066      1.6697      0.0029     7.927    -0.272    10.345     9.795     8.992
20191227      2458844.0     5587.      1.    5.00E+000      0.0335      1.5224      0.0029     7.984    -0.260    10.426     9.838     9.049
20191228      2458845.0     8345.      1.    5.00E+000      0.0793      1.4013      0.0029     7.994    -0.278    10.446     9.899     9.198
20191229      2458846.0     3463.      1.    5.00E+000      0.1407      1.2598      0.0029     8.055    -0.245    10.385     9.801     9.072
20191230      2458847.0     9503.      1.    5.00E+000      0.2144      1.1235      0.0029     7.963    -0.218    10.494     9.945     9.246
20191231      2458848.0     2599.      1.    5.00E+000      0.2866      0.9996      0.0029     7.852    -0.316    10.169     9.564     8.804
