model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      6.070490E-011      7.449003E-009     -9.007647E-009     -3.872840E-010      1.040794E-009     -5.237990E-016      2.958522E-015     -1.573285E-016     -9.996868E-014      7.515330E-010
      7.449003E-009      2.844830E-004      9.415956E-006     -5.291142E-005      2.105498E-007      2.669265E-013      2.280417E-010     -4.327992E-010     -7.359429E-009     -7.554661E-006
     -9.007647E-009      9.415956E-006      3.864076E-004     -4.928452E-007     -7.448212E-005      2.752407E-011      3.973698E-011     -4.390421E-010      3.496320E-009     -1.750076E-005
     -3.872840E-010     -5.291142E-005     -4.928452E-007      2.323347E-005     -5.835003E-008     -4.748598E-012      2.303633E-011      3.024346E-011     -4.656298E-009     -3.734364E-006
      1.040794E-009      2.105498E-007     -7.448212E-005     -5.835003E-008      3.238036E-005     -1.591152E-011      3.730516E-011      1.283906E-010      2.420204E-009     -8.956507E-006
     -5.237990E-016      2.669265E-013      2.752407E-011     -4.748598E-012     -1.591152E-011      6.358644E-015     -1.302121E-014     -4.428292E-014      4.642000E-017      2.813549E-012
      2.958522E-015      2.280417E-010      3.973698E-011      2.303633E-011      3.730516E-011     -1.302121E-014      1.473662E-012     -1.396309E-012     -4.298222E-014     -4.670570E-010
     -1.573285E-016     -4.327992E-010     -4.390421E-010      3.024346E-011      1.283906E-010     -4.428292E-014     -1.396309E-012      2.097812E-012     -2.288503E-014      1.882043E-010
     -9.996868E-014     -7.359429E-009      3.496320E-009     -4.656298E-009      2.420204E-009      4.642000E-017     -4.298222E-014     -2.288503E-014      3.734084E-011      1.651866E-009
      7.515330E-010     -7.554661E-006     -1.750076E-005     -3.734364E-006     -8.956507E-006      2.813549E-012     -4.670570E-010      1.882043E-010      1.651866E-009      9.009605E-005
