model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000      5.127737E-005      1.288472E-005      1.965179E-005      1.106872E-005      5.071824E-005      1.542828E-005
           0.087266                NaN                NaN                NaN      5.005289E-005      1.981849E-005      1.535311E-005
           0.174533                NaN                NaN                NaN      7.300325E-005      1.394584E-005      1.563619E-005
           0.261799                NaN                NaN                NaN      8.919807E-005      1.095433E-005      1.616439E-005
           0.349066     -2.372675E-006      1.492245E-005      1.993467E-005      1.123075E-005      1.000745E-005      1.685972E-005
           0.436332                NaN                NaN                NaN     -2.964701E-005      1.036522E-005      1.763270E-005
           0.523599                NaN                NaN                NaN     -3.284010E-005      1.006956E-005      1.838952E-005
           0.610865                NaN                NaN                NaN     -3.471020E-005      1.028328E-005      1.903847E-005
           0.698132     -3.598211E-005      9.991637E-006      1.939253E-005      1.578267E-005      1.089160E-005      1.950031E-005
           0.785398                NaN                NaN                NaN      4.488723E-005      1.190316E-005      1.973094E-005
           0.872665                NaN                NaN                NaN      1.397712E-005      1.450291E-005      1.977024E-005
           0.959931                NaN                NaN                NaN     -8.210292E-005      1.683330E-005      1.983589E-005
           1.047198     -1.755820E-005      1.172597E-005      1.873161E-005     -1.704037E-004      2.009073E-005      2.045957E-005
           1.134464                NaN                NaN                NaN      5.822065E-005      2.878753E-005      2.254587E-005
           1.221731                NaN                NaN                NaN      1.180033E-003      4.299931E-005      2.710381E-005
           1.308997                NaN                NaN                NaN      3.196609E-003      7.394825E-005      3.477846E-005
           1.396263     -7.343650E-005      1.127925E-005      1.796026E-005      1.884590E-003      2.772001E-004      4.576424E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      6.005179E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      7.759581E-005
           1.745329     -2.324205E-005      1.203905E-005      1.745023E-005                NaN                NaN                NaN
           2.094395      6.287030E-005      1.298663E-005      1.745915E-005                NaN                NaN                NaN
           2.443461      7.223099E-005      1.303871E-005      1.795589E-005                NaN                NaN                NaN
           2.792527      9.080023E-005      1.290857E-005      1.863189E-005                NaN                NaN                NaN
           3.141593      2.417212E-005      1.118286E-005      1.942373E-005                NaN                NaN                NaN
           3.490659     -7.845229E-005      1.038758E-005      1.945961E-005                NaN                NaN                NaN
           3.839725     -9.924603E-005      1.088144E-005      1.896599E-005                NaN                NaN                NaN
           4.188790     -6.931493E-005      1.222751E-005      1.830034E-005                NaN                NaN                NaN
           4.537856     -6.438560E-005      1.148918E-005      1.770689E-005                NaN                NaN                NaN
           4.886922     -2.852821E-005      1.047352E-005      1.739992E-005                NaN                NaN                NaN
           5.235988     -3.275438E-006      1.218863E-005      1.746090E-005                NaN                NaN                NaN
           5.585054      6.585955E-005      1.091822E-005      1.799922E-005                NaN                NaN                NaN
           5.934120      6.839573E-005      1.199344E-005      1.881414E-005                NaN                NaN                NaN
           6.283185      5.127737E-005      1.288472E-005      1.965179E-005                NaN                NaN                NaN
