model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20170800      2457965.0     2251.      3.602603E-001      5.124996E+002      6.726857E+002      5.134736E+002      6.776652E+002      2.901857E-003      2.966819E-003      9.044210E-003      5.508376E-004      1.542334E+000
20170801      2457966.0     3832.      3.602371E-001      5.125608E+002      6.729136E+002      5.134499E+002      6.776586E+002      2.896295E-003      3.551137E-003      8.610449E-003      4.414039E-004      1.989822E+000
20170802      2457967.0     3145.      3.602585E-001      5.127260E+002      6.726528E+002      5.134344E+002      6.776863E+002      2.894220E-003      3.769333E-003      8.471863E-003      5.414743E-004      1.655283E+000
20170803      2457968.0      994.      3.601912E-001      5.124396E+002      6.729083E+002      5.134890E+002      6.776108E+002      2.895688E-003      3.551390E-003      8.623847E-003      7.719763E-004      1.711996E+000
20170804      2457969.0     1529.      3.601615E-001      5.126946E+002      6.726614E+002      5.134454E+002      6.776277E+002      2.897984E-003      3.352724E-003      8.744450E-003      5.696428E-004      1.611373E+000
20170805      2457970.0      905.      3.602945E-001      5.126954E+002      6.730475E+002      5.134813E+002      6.775705E+002      2.888026E-003      4.422820E-003      8.117096E-003      5.882352E-004      1.736194E+000
20170806      2457971.0       56.      3.600449E-001      5.124736E+002      6.720020E+002      5.135145E+002      6.778130E+002      2.888935E-003      4.230221E-003      8.202499E-003      5.652453E-004      1.098932E+000
20170808      2457973.0      261.      3.603103E-001      5.127341E+002      6.725923E+002      5.134724E+002      6.777018E+002      2.891569E-003      4.075326E-003      8.249683E-003      5.943528E-004      6.274281E+000
20170809      2457974.0      316.      3.604151E-001      5.125333E+002      6.738416E+002      5.135063E+002      6.774543E+002      2.884659E-003      5.206637E-003      7.633973E-003      8.201876E-004      4.064000E+000
20170810      2457975.0      263.      3.602057E-001      5.125901E+002      6.725940E+002      5.134856E+002      6.775261E+002      2.893416E-003      3.917698E-003      8.355175E-003      5.959382E-004      1.491796E+000
20170811      2457976.0      276.      3.603358E-001      5.128709E+002      6.729799E+002      5.133764E+002      6.774462E+002      2.885086E-003      4.949539E-003      7.817258E-003      4.734730E-004      2.010124E+000
20170812      2457977.0     5091.      3.602271E-001      5.125638E+002      6.726453E+002      5.134440E+002      6.774687E+002      2.898350E-003      3.330479E-003      8.769418E-003      5.409895E-004      1.591828E+000
20170813      2457978.0     5989.      3.602608E-001      5.126393E+002      6.725294E+002      5.134245E+002      6.775150E+002      2.897035E-003      3.426215E-003      8.709932E-003      6.605696E-004      1.461589E+000
20170814      2457979.0     6064.      3.602546E-001      5.124896E+002      6.726611E+002      5.134382E+002      6.774920E+002      2.896784E-003      3.459729E-003      8.682891E-003      5.314806E-004      1.523349E+000
20170815      2457980.0     6072.      3.602026E-001      5.125272E+002      6.726094E+002      5.134518E+002      6.775006E+002      2.891181E-003      4.078509E-003      8.298934E-003      5.547956E-004      1.300571E+000
20170816      2457981.0     4883.      3.602445E-001      5.124557E+002      6.726116E+002      5.134463E+002      6.774890E+002      2.893062E-003      3.881823E-003      8.410519E-003      5.018554E-004      1.281321E+000
20170817      2457982.0     5039.      3.602515E-001      5.124644E+002      6.727246E+002      5.134427E+002      6.774669E+002      2.894584E-003      3.704529E-003      8.523191E-003      4.444701E-004      1.508678E+000
20170818      2457983.0     2693.      3.602434E-001      5.126061E+002      6.726296E+002      5.134416E+002      6.774727E+002      2.894023E-003      3.776682E-003      8.470749E-003      6.997908E-004      1.560297E+000
20170819      2457984.0     4385.      3.602770E-001      5.126973E+002      6.725336E+002      5.134317E+002      6.774517E+002      2.897214E-003      3.424491E-003      8.703479E-003      6.199082E-004      1.505638E+000
20170820      2457985.0     9376.      3.602485E-001      5.126844E+002      6.724468E+002      5.134332E+002      6.774474E+002      2.903312E-003      2.855536E-003      9.133443E-003      6.831886E-004      1.555357E+000
20170821      2457986.0     8887.      3.602360E-001      5.126935E+002      6.724016E+002      5.134348E+002      6.774525E+002      2.903107E-003      2.855110E-003      9.135458E-003      6.839836E-004      1.542174E+000
20170822      2457987.0     8557.      3.602318E-001      5.127104E+002      6.724708E+002      5.134302E+002      6.773975E+002      2.902992E-003      2.888623E-003      9.106212E-003      6.213105E-004      1.583649E+000
20170823      2457988.0     7971.      3.602467E-001      5.125883E+002      6.724276E+002      5.134485E+002      6.773941E+002      2.902841E-003      2.886569E-003      9.110069E-003      6.082358E-004      1.517569E+000
20170824      2457989.0     6275.      3.602180E-001      5.126132E+002      6.724557E+002      5.134448E+002      6.773978E+002      2.901284E-003      3.066096E-003      8.960358E-003      5.112414E-004      1.447744E+000
