model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20170800      2457965.0     2251.      5.415217E-005      1.193356E-001      1.404163E-001      3.470685E-002      4.130710E-002      5.547863E-007      7.717918E-006      1.021614E-005      3.861666E-005      6.304512E-002
20170801      2457966.0     3832.      4.265599E-005      9.628581E-002      1.137689E-001      2.554898E-002      3.043607E-002      4.522724E-007      7.973154E-006      8.934076E-006      3.347333E-005      7.253709E-002
20170802      2457967.0     3145.      4.842494E-005      1.070666E-001      1.274348E-001      2.861384E-002      3.475449E-002      5.092613E-007      9.534609E-006      9.499745E-006      3.542365E-005      6.178728E-002
20170803      2457968.0      994.      9.726640E-005      2.051049E-001      2.531140E-001      6.902326E-002      8.514860E-002      9.904398E-007      1.506454E-005      1.626625E-005      4.983678E-005      7.701719E-002
20170804      2457969.0     1529.      6.398431E-005      1.431488E-001      1.769175E-001      4.092420E-002      4.922526E-002      6.667400E-007      1.100821E-005      1.326659E-005      4.733399E-005      6.475438E-002
20170805      2457970.0      905.      8.606558E-005      1.848772E-001      2.364163E-001      5.915511E-002      7.182769E-002      9.350018E-007      1.716950E-005      1.474711E-005      4.731847E-005      9.237456E-002
20170806      2457971.0       56.      4.481844E-004      9.465042E-001      1.020109E+000      2.678798E-001      2.834282E-001      4.319607E-006      1.000963E-004      9.136247E-005      1.117164E-004      3.037555E-001
20170808      2457973.0      261.      3.082339E-004      6.736300E-001      7.165357E-001      1.675656E-001      1.977254E-001      2.799375E-006      6.779824E-005      5.656805E-005      9.219985E-005      3.535810E-001
20170809      2457974.0      316.      1.743696E-004      3.881618E-001      4.336506E-001      1.038705E-001      1.282910E-001      1.804298E-006      5.165785E-005      3.218565E-005      8.638602E-005      8.349299E-002
20170810      2457975.0      263.      1.654032E-004      3.799385E-001      4.375461E-001      9.664370E-002      1.141601E-001      1.754825E-006      3.707697E-005      3.956398E-005      6.587618E-005      1.436204E-001
20170811      2457976.0      276.      1.547688E-004      3.823428E-001      4.101825E-001      9.421559E-002      1.060547E-001      1.644404E-006      4.219757E-005      3.208659E-005      1.234464E-004      2.119126E-001
20170812      2457977.0     5091.      3.831596E-005      8.377213E-002      9.411901E-002      2.312540E-002      2.735392E-002      3.875542E-007      6.111605E-006      7.180509E-006      2.564649E-005      5.001021E-002
20170813      2457978.0     5989.      3.435220E-005      7.553127E-002      8.387766E-002      2.133669E-002      2.489144E-002      3.544622E-007      5.490147E-006      6.100622E-006      2.740690E-005      3.801290E-002
20170814      2457979.0     6064.      3.605710E-005      7.882821E-002      8.897005E-002      2.244595E-002      2.628788E-002      3.652310E-007      5.957927E-006      6.580717E-006      2.774977E-005      4.737545E-002
20170815      2457980.0     6072.      3.791138E-005      8.137443E-002      9.394902E-002      2.346566E-002      2.751406E-002      3.958304E-007      7.391343E-006      6.871789E-006      2.795569E-005      4.647260E-002
20170816      2457981.0     4883.      3.957877E-005      8.665202E-002      1.007675E-001      2.343370E-002      2.767740E-002      4.168748E-007      7.704821E-006      7.650307E-006      3.057880E-005      5.104158E-002
20170817      2457982.0     5039.      3.955270E-005      8.664184E-002      9.972470E-002      2.371376E-002      2.804257E-002      4.147165E-007      7.322584E-006      7.406807E-006      2.695019E-005      5.892535E-002
20170818      2457983.0     2693.      5.514306E-005      1.241802E-001      1.387471E-001      3.208775E-002      3.833607E-002      5.757150E-007      1.059532E-005      1.061289E-005      3.780242E-005      5.929828E-002
20170819      2457984.0     4385.      3.980742E-005      9.080250E-002      1.037221E-001      2.351838E-002      2.797762E-002      4.156187E-007      7.093199E-006      8.290703E-006      2.992060E-005      5.321229E-002
20170820      2457985.0     9376.      2.636681E-005      5.543494E-002      6.512838E-002      1.710266E-002      2.027065E-002      2.672063E-007      3.284675E-006      4.561016E-006      1.837925E-005      2.674250E-002
20170821      2457986.0     8887.      2.752841E-005      5.802026E-002      6.762435E-002      1.748244E-002      2.067357E-002      2.790576E-007      3.506098E-006      4.829903E-006      1.864918E-005      2.993763E-002
20170822      2457987.0     8557.      2.739713E-005      5.822082E-002      6.812303E-002      1.747636E-002      2.066806E-002      2.816199E-007      3.546980E-006      4.969476E-006      1.757896E-005      2.663103E-002
20170823      2457988.0     7971.      2.788858E-005      6.004980E-002      7.011509E-002      1.791827E-002      2.108786E-002      2.863013E-007      3.699019E-006      5.161439E-006      2.070437E-005      3.223944E-002
20170824      2457989.0     6275.      3.202320E-005      6.934621E-002      8.246899E-002      1.989635E-002      2.344498E-002      3.285827E-007      4.769858E-006      6.232622E-006      2.324826E-005      4.247661E-002
