model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20170800      2457965.0     2251.      1.    5.00E+000      0.6363      1.7019      0.0029     8.379    -0.342    10.534     9.876     9.027
20170801      2457966.0     3832.      1.    5.00E+000      0.7174      1.0723      0.0029     8.161    -0.155    10.301     9.608     8.849
20170802      2457967.0     3145.      1.    5.00E+000      0.7982      1.0761      0.0029     8.057    -0.099    10.210     9.553     8.771
20170803      2457968.0      994.      0.    5.00E+000      0.8688      1.0941      0.0029     8.300    -0.300     9.909     9.291     8.519
20170804      2457969.0     1529.      1.    5.00E+000      0.9263      1.1000      0.0029     8.300    -0.300     9.836     9.219     8.565
20170805      2457970.0      905.      1.    5.00E+000      0.9686      1.0894      0.0029     7.902    -0.043     9.722     9.155     8.313
20170806      2457971.0       56.      0.    5.00E+000      0.9936      1.0624      0.0029     8.300    -0.300     9.582     9.051     8.228
20170807      2457972.0        0.      0.    5.00E+000      0.9994      1.0197      0.0029     8.300    -0.300     9.375     8.933     8.266
20170808      2457973.0      261.      0.    5.00E+000      0.9847      0.9634      0.0029     8.300    -0.300     9.418     8.882     8.218
20170809      2457974.0      316.      0.    5.00E+000      0.9490      0.8959      0.0029     8.300    -0.300     9.236     8.766     8.142
20170810      2457975.0      263.      1.    5.00E+000      0.8928      0.8207      0.0029     8.017    -0.021     9.716     8.920     8.254
20170811      2457976.0      276.      0.    5.00E+000      0.8174      0.7414      0.0029     8.300    -0.300     9.737     8.961     8.197
20170812      2457977.0     5091.      0.    5.00E+000      0.7259      0.6681      0.0029     8.300    -0.300    10.250     9.556     8.721
20170813      2457978.0     5989.      1.    5.00E+000      0.6222      0.6485      0.0029     8.147    -0.046    10.396     9.712     8.986
20170814      2457979.0     6064.      0.    5.00E+000      0.5103      0.6970      0.0029     8.300    -0.300    10.400     9.737     8.891
20170815      2457980.0     6072.      0.    5.00E+000      0.3961      0.8035      0.0029     8.300    -0.300    10.403     9.724     8.950
20170816      2457981.0     4883.      1.    5.00E+000      0.2860      0.9504      0.0029     7.995    -0.003    10.373     9.677     8.879
20170817      2457982.0     5039.      0.    5.00E+000      0.1862      1.0916      0.0029     8.300    -0.300    10.325     9.634     8.739
20170818      2457983.0     2693.      0.    5.00E+000      0.1037      1.2778      0.0029     8.300    -0.300    10.195     9.487     8.590
20170819      2457984.0     4385.      1.    5.00E+000      0.0433      1.4701      0.0029     8.181    -0.222    10.373     9.743     9.037
20170820      2457985.0     9376.      1.    5.00E+000      0.0086      1.6621      0.0029     8.374    -0.165    10.681    10.030     9.359
20170821      2457986.0     8887.      1.    5.00E+000      0.0007      1.7692      0.0029     8.344    -0.158    10.637     9.974     9.281
20170822      2457987.0     8557.      1.    5.00E+000      0.0186      1.6699      0.0029     8.299    -0.162    10.576     9.916     9.222
20170823      2457988.0     7971.      1.    5.00E+000      0.0596      1.5683      0.0029     8.314    -0.205    10.568     9.885     9.182
20170824      2457989.0     6275.      1.    5.00E+000      0.1199      1.4828      0.0029     8.363    -0.294    10.460     9.794     9.065
20170825      2457990.0     6646.      1.    5.00E+000      0.1946      1.3982      0.0029     8.278    -0.250    10.503     9.785     9.010
20170826      2457991.0     6796.      1.    5.00E+000      0.2795      1.2937      0.0029     8.295    -0.260    10.476     9.797     9.068
20170827      2457992.0     2477.      1.    5.00E+000      0.3712      1.2304      0.0029     8.124    -0.216    10.162     9.528     8.686
20170828      2457993.0      789.      1.    5.00E+000      0.4661      1.1775      0.0029     8.476    -0.517     9.451     8.863     8.487
20170829      2457994.0     3871.      1.    5.00E+000      0.5611      1.1375      0.0029     8.454    -0.539    10.389     9.652     8.895
20170830      2457995.0     2913.      1.    5.00E+000      0.6532      1.1040      0.0029     8.520    -0.615    10.303     9.520     8.710
20170831      2457996.0        0.      0.    5.00E+000      0.7305      1.0995      0.0029     8.300    -0.300     9.253     8.550     8.112
