model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20170800      2457965.0     2251.      1.    5.00E+000      0.6363      1.7019      0.0029     0.015     0.010     0.114     0.160     0.322
20170801      2457966.0     3832.      1.    5.00E+000      0.7174      1.0723      0.0029     0.010     0.006     0.187     0.244     0.412
20170802      2457967.0     3145.      1.    5.00E+000      0.7982      1.0761      0.0029     0.011     0.007     0.200     0.280     0.476
20170803      2457968.0      994.      0.    5.00E+000      0.8688      1.0941      0.0029     0.000     0.000     0.293     0.341     0.508
20170804      2457969.0     1529.      1.    5.00E+000      0.9263      1.1000      0.0029     0.013     0.008     0.260     0.334     0.522
20170805      2457970.0      905.      1.    5.00E+000      0.9686      1.0894      0.0029     0.018     0.009     0.246     0.344     0.548
20170806      2457971.0       56.      0.    5.00E+000      0.9936      1.0624      0.0029     0.000     0.000     0.202     0.374     0.577
20170807      2457972.0        0.      0.    5.00E+000      0.9994      1.0197      0.0029     0.000     0.000     0.105     0.450     0.586
20170808      2457973.0      261.      0.    5.00E+000      0.9847      0.9634      0.0029     0.000     0.000     0.479     0.590     0.539
20170809      2457974.0      316.      0.    5.00E+000      0.9490      0.8959      0.0029     0.000     0.000     0.508     0.647     0.492
20170810      2457975.0      263.      1.    5.00E+000      0.8928      0.8207      0.0029     0.037     0.026     0.605     0.622     0.431
20170811      2457976.0      276.      0.    5.00E+000      0.8174      0.7414      0.0029     0.000     0.000     0.686     0.645     0.366
20170812      2457977.0     5091.      0.    5.00E+000      0.7259      0.6681      0.0029     0.000     0.000     0.140     0.380     0.301
20170813      2457978.0     5989.      1.    5.00E+000      0.6222      0.6485      0.0029     0.007     0.005     0.127     0.351     0.304
20170814      2457979.0     6064.      0.    5.00E+000      0.5103      0.6970      0.0029     0.000     0.000     0.078     0.214     0.317
20170815      2457980.0     6072.      0.    5.00E+000      0.3961      0.8035      0.0029     0.000     0.000     0.056     0.159     0.303
20170816      2457981.0     4883.      1.    5.00E+000      0.2860      0.9504      0.0029     0.007     0.005     0.080     0.151     0.280
20170817      2457982.0     5039.      0.    5.00E+000      0.1862      1.0916      0.0029     0.000     0.000     0.100     0.144     0.276
20170818      2457983.0     2693.      0.    5.00E+000      0.1037      1.2778      0.0029     0.000     0.000     0.088     0.144     0.278
20170819      2457984.0     4385.      1.    5.00E+000      0.0433      1.4701      0.0029     0.010     0.007     0.082     0.140     0.287
20170820      2457985.0     9376.      1.    5.00E+000      0.0086      1.6621      0.0029     0.005     0.003     0.140     0.186     0.344
20170821      2457986.0     8887.      1.    5.00E+000      0.0007      1.7692      0.0029     0.006     0.004     0.113     0.156     0.309
20170822      2457987.0     8557.      1.    5.00E+000      0.0186      1.6699      0.0029     0.006     0.003     0.083     0.135     0.289
20170823      2457988.0     7971.      1.    5.00E+000      0.0596      1.5683      0.0029     0.006     0.004     0.095     0.143     0.290
20170824      2457989.0     6275.      1.    5.00E+000      0.1199      1.4828      0.0029     0.007     0.004     0.280     0.263     0.332
20170825      2457990.0     6646.      1.    5.00E+000      0.1946      1.3982      0.0029     0.007     0.005     0.155     0.160     0.311
20170826      2457991.0     6796.      1.    5.00E+000      0.2795      1.2937      0.0029     0.007     0.005     0.103     0.162     0.301
20170827      2457992.0     2477.      1.    5.00E+000      0.3712      1.2304      0.0029     0.013     0.009     0.491     0.438     0.428
20170828      2457993.0      789.      1.    5.00E+000      0.4661      1.1775      0.0029     0.030     0.022     0.667     0.532     0.374
20170829      2457994.0     3871.      1.    5.00E+000      0.5611      1.1375      0.0029     0.012     0.008     0.182     0.219     0.347
20170830      2457995.0     2913.      1.    5.00E+000      0.6532      1.1040      0.0029     0.013     0.010     0.240     0.266     0.405
20170831      2457996.0        0.      0.    5.00E+000      0.7305      1.0995      0.0029     0.000     0.000     0.557     0.400     0.298
