model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20190108      2458491.0      145.     -4.865814E-003      4.445849E+002      6.634583E+002      4.451675E+002      6.682892E+002      2.892448E-003      3.036282E-003      8.925623E-003      3.666847E-003      8.482288E-001
20190109      2458492.0    12280.     -4.333550E-003      4.464023E+002      6.603829E+002      4.449558E+002      6.685960E+002      2.897831E-003      3.227587E-003      8.849081E-003      6.118080E-004      2.395993E+000
20190110      2458493.0    11288.     -4.408164E-003      4.462733E+002      6.603988E+002      4.449123E+002      6.687073E+002      2.898968E-003      3.137429E-003      8.908964E-003      5.866475E-004      2.505317E+000
20190124      2458507.0     5185.     -4.413053E-003      4.462809E+002      6.603104E+002      4.450846E+002      6.685439E+002      2.895029E-003      3.530806E-003      8.627681E-003      4.880046E-004      2.648390E+000
20190125      2458508.0     8917.     -4.394128E-003      4.462647E+002      6.602256E+002      4.450147E+002      6.686298E+002      2.898114E-003      3.215930E-003      8.848730E-003      5.593075E-004      2.534838E+000
20190126      2458509.0     6911.     -4.386882E-003      4.461225E+002      6.602999E+002      4.449946E+002      6.686902E+002      2.899159E-003      3.097371E-003      8.941283E-003      5.115183E-004      2.612079E+000
20190127      2458510.0     2522.     -4.813367E-003      4.462493E+002      6.622653E+002      4.450789E+002      6.683677E+002      2.886198E-003      4.455828E-003      8.104927E-003      7.371559E-004      2.538854E+000
20190128      2458511.0     1819.     -5.266879E-003      4.457216E+002      6.622841E+002      4.450825E+002      6.685264E+002      2.887409E-003      4.250399E-003      8.211873E-003      8.348573E-004      1.861670E+000
20190129      2458512.0     4301.     -4.402968E-003      4.464154E+002      6.605080E+002      4.449591E+002      6.685330E+002      2.897622E-003      3.274099E-003      8.799511E-003      6.283742E-004      2.266929E+000
20190130      2458513.0     2453.     -4.606213E-003      4.459614E+002      6.614161E+002      4.452137E+002      6.680730E+002      2.894728E-003      2.858439E-003      9.209665E-003      5.648299E-004      3.387483E+000
