model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      1.002080E-011     -1.085707E-009     -1.901198E-009      2.872713E-010     -3.524591E-010     -7.433402E-017      1.180646E-015     -3.047920E-015     -2.173556E-013      9.386712E-010
     -1.085707E-009      1.038637E-004      4.796589E-006     -2.802311E-005     -1.115642E-006      1.677989E-011      1.266605E-010     -3.390303E-010     -2.591943E-009     -2.316120E-006
     -1.901198E-009      4.796589E-006      1.356231E-004     -9.172958E-007     -3.750098E-005     -2.142882E-012     -2.769690E-013      7.408820E-011      3.815136E-010     -5.005599E-006
      2.872713E-010     -2.802311E-005     -9.172958E-007      1.543099E-005      1.939255E-007     -9.265368E-012     -9.494856E-012      7.686571E-011     -2.713101E-009     -1.250459E-006
     -3.524591E-010     -1.115642E-006     -3.750098E-005      1.939255E-007      2.102167E-005     -8.968877E-013     -4.481211E-012      1.821135E-012      1.192690E-009     -5.730696E-006
     -7.433402E-017      1.677989E-011     -2.142882E-012     -9.265368E-012     -8.968877E-013      2.944607E-015     -1.221356E-015     -2.160622E-014     -3.422863E-015     -6.037197E-012
      1.180646E-015      1.266605E-010     -2.769690E-013     -9.494856E-012     -4.481211E-012     -1.221356E-015      2.130492E-013     -2.748672E-013     -5.695663E-014     -2.161831E-011
     -3.047920E-015     -3.390303E-010      7.408820E-011      7.686571E-011      1.821135E-012     -2.160622E-014     -2.748672E-013      6.018124E-013      6.521039E-014      7.481811E-011
     -2.173556E-013     -2.591943E-009      3.815136E-010     -2.713101E-009      1.192690E-009     -3.422863E-015     -5.695663E-014      6.521039E-014      1.239509E-011     -1.051524E-009
      9.386712E-010     -2.316120E-006     -5.005599E-006     -1.250459E-006     -5.730696E-006     -6.037197E-012     -2.161831E-011      7.481811E-011     -1.051524E-009      3.635817E-005
