model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -2.816396E-004      1.282832E-005      1.282611E-005      8.029299E-005      5.089151E-005      1.249886E-005
           0.087266                NaN                NaN                NaN      6.678340E-005      1.773515E-005      1.251426E-005
           0.174533                NaN                NaN                NaN      2.109370E-006      1.338103E-005      1.267164E-005
           0.261799                NaN                NaN                NaN     -9.861904E-005      1.141768E-005      1.297694E-005
           0.349066     -2.043495E-004      1.105649E-005      1.265667E-005     -2.282011E-004      1.015935E-005      1.339084E-005
           0.436332                NaN                NaN                NaN     -2.744586E-004      9.251472E-006      1.386450E-005
           0.523599                NaN                NaN                NaN     -1.844226E-004      8.733587E-006      1.434142E-005
           0.610865                NaN                NaN                NaN      1.205800E-005      8.617209E-006      1.475907E-005
           0.698132     -1.981655E-004      9.763843E-006      1.213119E-005      1.831048E-004      8.432741E-006      1.505148E-005
           0.785398                NaN                NaN                NaN      3.106802E-004      8.283402E-006      1.515565E-005
           0.872665                NaN                NaN                NaN      2.610234E-004      9.086729E-006      1.502705E-005
           0.959931                NaN                NaN                NaN      4.041672E-005      9.406116E-006      1.467475E-005
           1.047198     -1.166687E-004      8.974877E-006      1.148380E-005     -2.812543E-004      1.025445E-005      1.423351E-005
           1.134464                NaN                NaN                NaN     -5.370754E-004      1.148632E-005      1.408450E-005
           1.221731                NaN                NaN                NaN     -1.786074E-004      1.475046E-005      1.494250E-005
           1.308997                NaN                NaN                NaN      1.403842E-003      2.454821E-005      1.763895E-005
           1.396263      4.698682E-005      8.841354E-006      1.102295E-005      4.207828E-003      6.522109E-005      2.263694E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      2.994238E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      3.939720E-005
           1.745329      1.855739E-004      9.388220E-006      1.110988E-005                NaN                NaN                NaN
           2.094395      2.328035E-004      9.076147E-006      1.143565E-005                NaN                NaN                NaN
           2.443461      1.836480E-004      8.959086E-006      1.204449E-005                NaN                NaN                NaN
           2.792527      3.830066E-005      8.482293E-006      1.265198E-005                NaN                NaN                NaN
           3.141593     -1.169755E-004      8.116181E-006      1.318657E-005                NaN                NaN                NaN
           3.490659     -1.973386E-004      8.137367E-006      1.350281E-005                NaN                NaN                NaN
           3.839725     -1.654144E-004      8.416479E-006      1.266599E-005                NaN                NaN                NaN
           4.188790     -8.278386E-005      8.794394E-006      1.172146E-005                NaN                NaN                NaN
           4.537856      7.237813E-005      9.661820E-006      1.122732E-005                NaN                NaN                NaN
           4.886922      1.745942E-004      1.015986E-005      1.128956E-005                NaN                NaN                NaN
           5.235988      2.286907E-004      9.903854E-006      1.169272E-005                NaN                NaN                NaN
           5.585054      1.557448E-004      1.024504E-005      1.212999E-005                NaN                NaN                NaN
           5.934120     -8.988503E-005      1.276807E-005      1.261549E-005                NaN                NaN                NaN
           6.283185     -2.816396E-004      1.282832E-005      1.282611E-005                NaN                NaN                NaN
