model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0    10850.      6.323816E-002      5.116510E+002      6.790024E+002      5.061959E+002      6.769171E+002      2.930077E-003      2.236712E-003      9.720445E-003      5.514076E-004      1.235258E+000
20190106      2458489.0    13080.      6.329031E-002      5.116127E+002      6.789813E+002      5.062253E+002      6.769129E+002      2.929763E-003      2.239856E-003      9.721812E-003      5.541082E-004      1.381690E+000
20190107      2458490.0    12270.      6.328928E-002      5.116013E+002      6.789956E+002      5.062096E+002      6.769169E+002      2.923070E-003      2.736345E-003      9.271407E-003      4.958492E-004      1.225784E+000
20190108      2458491.0    18678.      6.326744E-002      5.117386E+002      6.788990E+002      5.062524E+002      6.768440E+002      2.927984E-003      2.382817E-003      9.582913E-003      5.758047E-004      1.362624E+000
20190109      2458492.0    10535.      6.324414E-002      5.116344E+002      6.788176E+002      5.063088E+002      6.767708E+002      2.923409E-003      2.723782E-003      9.284372E-003      5.140995E-004      1.363243E+000
20190110      2458493.0    23425.      6.327803E-002      5.117023E+002      6.788470E+002      5.062863E+002      6.767806E+002      2.927815E-003      2.415653E-003      9.551018E-003      5.134172E-004      1.322811E+000
20190111      2458494.0    17046.      6.328394E-002      5.116990E+002      6.788945E+002      5.062338E+002      6.768712E+002      2.924903E-003      2.598941E-003      9.388111E-003      6.048468E-004      1.385839E+000
20190112      2458495.0     4890.      6.330211E-002      5.115909E+002      6.788984E+002      5.061965E+002      6.769523E+002      2.916320E-003      3.334957E-003      8.814059E-003      4.546157E-004      1.251887E+000
20190114      2458497.0    16190.      6.330777E-002      5.117007E+002      6.789329E+002      5.062816E+002      6.768606E+002      2.927925E-003      2.382415E-003      9.584758E-003      5.680630E-004      1.361819E+000
20190115      2458498.0    16745.      6.330885E-002      5.116976E+002      6.789890E+002      5.062328E+002      6.768856E+002      2.926598E-003      2.466208E-003      9.507841E-003      5.279446E-004      1.376611E+000
20190116      2458499.0     8820.      6.324035E-002      5.116499E+002      6.789180E+002      5.062674E+002      6.768655E+002      2.927180E-003      2.422866E-003      9.547266E-003      5.716156E-004      1.154902E+000
20190117      2458500.0     8314.      6.323614E-002      5.117407E+002      6.788866E+002      5.062718E+002      6.768121E+002      2.922999E-003      2.739681E-003      9.273134E-003      5.392446E-004      1.312720E+000
20190119      2458502.0      648.      6.317987E-002      5.117006E+002      6.788395E+002      5.063008E+002      6.767780E+002      2.923691E-003      2.680864E-003      9.324865E-003      4.062059E-004      1.420372E+000
20190120      2458503.0     3274.      6.319889E-002      5.118599E+002      6.790286E+002      5.062729E+002      6.768038E+002      2.926119E-003      2.480098E-003      9.504622E-003      4.966678E-004      1.476457E+000
20190121      2458504.0     1851.      6.322633E-002      5.120090E+002      6.789407E+002      5.061746E+002      6.768232E+002      2.918687E-003      3.112906E-003      8.982107E-003      6.874258E-004      1.318504E+000
20190122      2458505.0     3873.      6.329061E-002      5.116978E+002      6.788353E+002      5.062435E+002      6.768435E+002      2.917835E-003      3.165722E-003      8.945105E-003      5.001160E-004      1.254473E+000
20190123      2458506.0     1167.      6.317711E-002      5.110189E+002      6.787867E+002      5.068071E+002      6.768365E+002      2.926114E-003      2.685270E-003      9.274659E-003      7.338123E-004      5.091724E+000
20190124      2458507.0    13767.      6.329121E-002      5.117559E+002      6.788749E+002      5.062450E+002      6.768242E+002      2.924602E-003      2.648731E-003      9.340812E-003      5.099732E-004      1.344439E+000
20190125      2458508.0    15892.      6.329394E-002      5.117173E+002      6.788547E+002      5.062263E+002      6.769064E+002      2.923110E-003      2.745109E-003      9.262861E-003      6.044701E-004      1.288076E+000
20190126      2458509.0    10624.      6.330975E-002      5.116563E+002      6.789546E+002      5.062072E+002      6.769226E+002      2.920668E-003      2.951199E-003      9.093562E-003      4.717693E-004      1.350620E+000
20190127      2458510.0      831.      6.320984E-002      5.115596E+002      6.787050E+002      5.063226E+002      6.768758E+002      2.928635E-003      2.346192E-003      9.613529E-003      7.035227E-004      1.169366E+000
20190128      2458511.0    11208.      6.330744E-002      5.118208E+002      6.788438E+002      5.063326E+002      6.768139E+002      2.925587E-003      2.569210E-003      9.416194E-003      6.066489E-004      1.382443E+000
20190129      2458512.0      397.      6.323259E-002      5.116396E+002      6.789523E+002      5.062922E+002      6.767701E+002      2.897515E-003      5.512864E-003      7.673927E-003      3.851465E-004      1.336609E+000
20190130      2458513.0     3898.      6.340004E-002      5.117295E+002      6.788530E+002      5.063410E+002      6.768001E+002      2.926562E-003      2.526890E-003      9.450682E-003      5.881887E-004      1.092060E+000
