model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0    10850.      1.379438E-005      4.518716E-002      5.216274E-002      1.991363E-002      2.304570E-002      2.477054E-007      1.671772E-006      3.263389E-006      1.423125E-005      2.667285E-002
20190106      2458489.0    13080.      1.251849E-005      4.035114E-002      4.692447E-002      1.768599E-002      2.040463E-002      2.227793E-007      1.515022E-006      2.941762E-006      1.323212E-005      2.607107E-002
20190107      2458490.0    12270.      1.423870E-005      4.573230E-002      5.258946E-002      1.688506E-002      1.973942E-002      2.420102E-007      2.328837E-006      3.575095E-006      1.444334E-005      3.106220E-002
20190108      2458491.0    18678.      1.129456E-005      3.521222E-002      4.070422E-002      1.358796E-002      1.587829E-002      1.901620E-007      1.506668E-006      2.645638E-006      1.153184E-005      1.948301E-002
20190109      2458492.0    10535.      1.536753E-005      4.910735E-002      5.652995E-002      1.845110E-002      2.174245E-002      2.582675E-007      2.429941E-006      3.757736E-006      1.574421E-005      2.958186E-002
20190110      2458493.0    23425.      9.698677E-006      3.096773E-002      3.534611E-002      1.236214E-002      1.443814E-002      1.663750E-007      1.310006E-006      2.335201E-006      9.681967E-006      1.943200E-002
20190111      2458494.0    17046.      1.149555E-005      3.762304E-002      4.208849E-002      1.474573E-002      1.729451E-002      1.998092E-007      1.686657E-006      2.794709E-006      1.174919E-005      2.039821E-002
20190112      2458495.0     4890.      2.226883E-005      7.309093E-002      8.421075E-002      2.469051E-002      2.925580E-002      3.910536E-007      4.806791E-006      5.968403E-006      2.105767E-005      4.722724E-002
20190114      2458497.0    16190.      1.109720E-005      3.641740E-002      4.196538E-002      1.443183E-002      1.693665E-002      1.932865E-007      1.525191E-006      2.740959E-006      1.219834E-005      2.125578E-002
20190115      2458498.0    16745.      1.096857E-005      3.601750E-002      4.088216E-002      1.399985E-002      1.629195E-002      1.939337E-007      1.569906E-006      2.729775E-006      1.102060E-005      2.247061E-002
20190116      2458499.0     8820.      1.529788E-005      4.951267E-002      5.734940E-002      2.058060E-002      2.378435E-002      2.696934E-007      2.050016E-006      3.646542E-006      1.642855E-005      2.677600E-002
20190117      2458500.0     8314.      1.606177E-005      5.294001E-002      6.046466E-002      1.996832E-002      2.369487E-002      2.814243E-007      2.559246E-006      3.911559E-006      1.785791E-005      3.126961E-002
20190119      2458502.0      648.      6.921149E-005      2.228209E-001      2.357846E-001      9.749556E-002      1.093839E-001      1.290618E-006      8.506793E-006      1.388773E-005      3.622771E-005      9.841938E-002
20190120      2458503.0     3274.      2.668291E-005      8.808473E-002      9.773765E-002      3.293622E-002      3.835066E-002      4.300074E-007      3.781581E-006      6.582318E-006      2.196314E-005      6.830274E-002
20190121      2458504.0     1851.      3.541788E-005      1.193122E-001      1.356730E-001      3.521330E-002      4.118523E-002      6.192633E-007      7.477084E-006      1.034796E-005      3.025518E-005      5.464974E-002
20190122      2458505.0     3873.      2.442778E-005      7.848611E-002      8.891030E-002      2.774148E-002      3.341303E-002      4.493955E-007      4.532565E-006      5.902479E-006      2.241654E-005      4.985321E-002
20190123      2458506.0     1167.      1.109169E-004      2.890251E-001      3.300104E-001      1.143768E-001      1.243941E-001      1.692035E-006      1.405454E-005      2.267896E-005      7.932363E-005      1.055860E-001
20190124      2458507.0    13767.      1.251927E-005      4.124531E-002      4.695173E-002      1.495748E-002      1.757963E-002      2.173256E-007      2.013686E-006      3.252229E-006      1.261572E-005      2.719826E-002
20190125      2458508.0    15892.      1.184716E-005      3.935889E-002      4.503908E-002      1.428159E-002      1.667838E-002      2.041017E-007      1.978568E-006      3.071953E-006      1.153578E-005      1.876354E-002
20190126      2458509.0    10624.      1.455541E-005      4.896838E-002      5.574046E-002      1.676914E-002      1.986962E-002      2.500848E-007      2.768843E-006      3.959067E-006      1.516581E-005      3.858522E-002
20190127      2458510.0      831.      5.835148E-005      1.739532E-001      2.119139E-001      7.279378E-002      8.338384E-002      1.006360E-006      6.891419E-006      1.274767E-005      4.974957E-005      6.039388E-002
20190128      2458511.0    11208.      1.498648E-005      4.858325E-002      5.412953E-002      1.756166E-002      2.046669E-002      2.434942E-007      2.217840E-006      3.566546E-006      1.477985E-005      2.518996E-002
20190129      2458512.0      397.      8.139484E-005      3.057477E-001      3.523826E-001      9.383242E-002      1.145083E-001      1.346490E-006      3.252463E-005      2.062557E-005      4.596982E-005      2.973379E-001
20190130      2458513.0     3898.      2.524134E-005      7.961414E-002      8.862751E-002      2.809843E-002      3.275916E-002      4.265281E-007      3.795693E-006      6.427993E-006      2.527498E-005      4.705775E-002
