model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0    10850.      1.    5.00E+000      0.0002      1.7815      0.0029     8.413    -0.210    11.932    11.595    11.195
20190106      2458489.0    13080.      1.    5.00E+000      0.0095      1.6572      0.0029     8.380    -0.185    11.947    11.606    11.182
20190107      2458490.0    12270.      1.    5.00E+000      0.0335      1.5174      0.0029     8.201    -0.183    11.694    11.382    11.051
20190108      2458491.0    18678.      1.    5.00E+000      0.0755      1.3781      0.0029     8.265    -0.164    11.790    11.460    11.115
20190109      2458492.0    10535.      1.    5.00E+000      0.1326      1.2373      0.0029     8.282    -0.218    11.603    11.236    10.872
20190110      2458493.0    23425.      1.    5.00E+000      0.2028      1.1019      0.0029     8.368    -0.206    11.798    11.502    11.104
20190111      2458494.0    17046.      1.    5.00E+000      0.2842      0.9745      0.0029     8.323    -0.210    11.819    11.522    11.087
20190112      2458495.0     4890.      1.    5.00E+000      0.3745      0.8596      0.0029     8.108    -0.099    11.101    10.832    10.558
20190113      2458496.0        0.      0.    5.00E+000      0.4715      0.7669      0.0029     8.300    -0.300    10.378    10.286    10.363
20190114      2458497.0    16190.      1.    5.00E+000      0.5725      0.6860      0.0029     8.300    -0.166    11.648    11.225    10.709
20190115      2458498.0    16745.      1.    5.00E+000      0.6734      0.6077      0.0029     8.379    -0.201    11.370    10.950    10.481
20190116      2458499.0     8820.      1.    5.00E+000      0.7700      0.5365      0.0029     8.387    -0.207    10.668    10.210     9.853
20190117      2458500.0     8314.      1.    5.00E+000      0.8569      0.4780      0.0029     8.418    -0.228    10.643    10.217     9.748
20190118      2458501.0        0.      0.    5.00E+000      0.9279      0.4382      0.0029     8.300    -0.300     8.683     8.640     8.415
20190119      2458502.0      648.      1.    5.00E+000      0.9770      0.4235      0.0029     8.299    -0.195     8.144     8.076     8.223
20190120      2458503.0     3274.      1.    5.00E+000      0.9988      0.4378      0.0029     8.382    -0.203     9.348     9.069     8.562
20190121      2458504.0     1851.      1.    5.00E+000      0.9905      0.4805      0.0029     8.355    -0.255     9.824     9.485     8.963
20190122      2458505.0     3873.      1.    5.00E+000      0.9523      0.5472      0.0029     8.220    -0.155     9.050     8.748     8.674
20190123      2458506.0     1167.      1.    5.00E+000      0.8877      0.6306      0.0029     8.729    -0.335     8.719     9.600     9.449
20190124      2458507.0    13767.      1.    5.00E+000      0.8028      0.7224      0.0029     8.370    -0.212    11.009    10.621    10.111
20190125      2458508.0    15892.      1.    5.00E+000      0.7038      0.8160      0.0029     8.365    -0.220    11.315    10.894    10.355
20190126      2458509.0    10624.      1.    5.00E+000      0.5976      0.9055      0.0029     8.234    -0.272    11.461    11.096    10.598
20190127      2458510.0      831.      1.    5.00E+000      0.4903      0.9867      0.0029     8.238    -0.251    10.781    10.411    10.360
20190128      2458511.0    11208.      1.    5.00E+000      0.3865      1.0671      0.0029     8.156    -0.195    11.522    11.221    10.865
20190129      2458512.0      397.      1.    5.00E+000      0.2899      1.1627      0.0029     8.241    -0.848    11.138    10.837    10.525
20190130      2458513.0     3898.      1.    5.00E+000      0.2213      2.4899      0.0029     8.306    -0.203    11.676    11.441    11.023
