model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0    10850.      1.    5.00E+000      0.0002      1.7815      0.0029     0.003     0.001     0.259     0.303     0.403
20190106      2458489.0    13080.      1.    5.00E+000      0.0095      1.6572      0.0029     0.002     0.001     0.333     0.405     0.523
20190107      2458490.0    12270.      1.    5.00E+000      0.0335      1.5174      0.0029     0.003     0.002     0.405     0.450     0.574
20190108      2458491.0    18678.      1.    5.00E+000      0.0755      1.3781      0.0029     0.002     0.001     0.371     0.345     0.370
20190109      2458492.0    10535.      1.    5.00E+000      0.1326      1.2373      0.0029     0.003     0.002     0.497     0.497     0.543
20190110      2458493.0    23425.      1.    5.00E+000      0.2028      1.1019      0.0029     0.002     0.001     0.258     0.333     0.439
20190111      2458494.0    17046.      1.    5.00E+000      0.2842      0.9745      0.0029     0.003     0.001     0.529     0.609     0.591
20190112      2458495.0     4890.      1.    5.00E+000      0.3745      0.8596      0.0029     0.005     0.003     0.456     0.449     0.509
20190113      2458496.0        0.      0.    5.00E+000      0.4715      0.7669      0.0029     0.000     0.000     0.161     0.210     0.329
20190114      2458497.0    16190.      1.    5.00E+000      0.5725      0.6860      0.0029     0.002     0.001     0.685     0.814     0.718
20190115      2458498.0    16745.      1.    5.00E+000      0.6734      0.6077      0.0029     0.002     0.001     0.470     0.632     0.529
20190116      2458499.0     8820.      1.    5.00E+000      0.7700      0.5365      0.0029     0.003     0.001     1.274     1.290     1.046
20190117      2458500.0     8314.      1.    5.00E+000      0.8569      0.4780      0.0029     0.003     0.002     1.138     0.958     0.763
20190118      2458501.0        0.      0.    5.00E+000      0.9279      0.4382      0.0029     0.000     0.000     0.988     1.022     1.119
20190119      2458502.0      648.      1.    5.00E+000      0.9770      0.4235      0.0029     0.015     0.007     1.289     1.112     0.741
20190120      2458503.0     3274.      1.    5.00E+000      0.9988      0.4378      0.0029     0.006     0.003     1.099     1.091     1.002
20190121      2458504.0     1851.      1.    5.00E+000      0.9905      0.4805      0.0029     0.007     0.004     0.412     0.537     0.352
20190122      2458505.0     3873.      1.    5.00E+000      0.9523      0.5472      0.0029     0.004     0.002     1.255     1.179     0.862
20190123      2458506.0     1167.      1.    5.00E+000      0.8877      0.6306      0.0029     0.020     0.010     1.231     1.097     0.819
20190124      2458507.0    13767.      1.    5.00E+000      0.8028      0.7224      0.0029     0.002     0.001     0.428     0.741     0.574
20190125      2458508.0    15892.      1.    5.00E+000      0.7038      0.8160      0.0029     0.002     0.001     0.376     0.681     0.638
20190126      2458509.0    10624.      1.    5.00E+000      0.5976      0.9055      0.0029     0.004     0.002     0.694     0.760     0.687
20190127      2458510.0      831.      1.    5.00E+000      0.4903      0.9867      0.0029     0.012     0.006     0.439     0.464     0.519
20190128      2458511.0    11208.      1.    5.00E+000      0.3865      1.0671      0.0029     0.003     0.002     0.400     0.423     0.493
20190129      2458512.0      397.      1.    5.00E+000      0.2899      1.1627      0.0029     0.028     0.019     0.267     0.335     0.513
20190130      2458513.0     3898.      1.    5.00E+000      0.2213      2.4899      0.0029     0.004     0.002     0.152     0.256     0.364
