model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      1.890951E-011     -4.477981E-010     -2.999507E-009      2.662874E-010     -2.783776E-010      2.252772E-016     -2.533043E-015      2.946950E-015      4.653138E-013      1.166618E-011
     -4.477981E-010      2.756862E-004     -8.507670E-006     -6.003846E-005      1.302859E-006      4.828829E-011     -3.315118E-011     -2.363528E-010      5.608697E-009      4.304584E-006
     -2.999507E-009     -8.507670E-006      3.943574E-004      1.859762E-006     -8.714803E-005     -1.824508E-012      2.194777E-010     -4.065683E-010     -1.036967E-008      2.797364E-006
      2.662874E-010     -6.003846E-005      1.859762E-006      2.940347E-005     -1.967028E-007     -2.576623E-011      3.406158E-011      1.504809E-010      3.457823E-009      3.609394E-006
     -2.783776E-010      1.302859E-006     -8.714803E-005     -1.967028E-007      4.215288E-005     -9.448034E-012     -6.623031E-012      1.055183E-010     -7.260100E-009      2.717983E-006
      2.252772E-016      4.828829E-011     -1.824508E-012     -2.576623E-011     -9.448034E-012      7.223645E-015     -8.787932E-015     -5.264577E-014      4.326008E-015      8.516804E-012
     -2.533043E-015     -3.315118E-011      2.194777E-010      3.406158E-011     -6.623031E-012     -8.787932E-015      1.105118E-012     -1.172321E-012      1.335014E-013      8.951012E-011
      2.946950E-015     -2.363528E-010     -4.065683E-010      1.504809E-010      1.055183E-010     -5.264577E-014     -1.172321E-012      2.016546E-012     -1.560661E-013     -1.304231E-010
      4.653138E-013      5.608697E-009     -1.036967E-008      3.457823E-009     -7.260100E-009      4.326008E-015      1.335014E-013     -1.560661E-013      3.921934E-011      2.407805E-010
      1.166618E-011      4.304584E-006      2.797364E-006      3.609394E-006      2.717983E-006      8.516804E-012      8.951012E-011     -1.304231E-010      2.407805E-010      1.240562E-005
