model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20200100      2458848.0     4769.     -2.280797E-002      4.849629E+002      6.712378E+002      4.860219E+002      6.699233E+002      2.928382E-003      2.760649E-003      9.238568E-003      2.120984E-003      3.668919E+000
20200101      2458849.0    10245.     -2.275698E-002      4.849536E+002      6.712925E+002      4.860094E+002      6.699078E+002      2.927238E-003      2.867756E-003      9.144012E-003      2.106616E-003      3.631113E+000
20200102      2458850.0      510.     -2.288114E-002      4.848484E+002      6.713406E+002      4.860188E+002      6.698487E+002      2.925999E-003      3.030663E-003      8.986994E-003      1.999955E-003      3.680457E+000
20200103      2458851.0     4137.     -2.282059E-002      4.849278E+002      6.712668E+002      4.860286E+002      6.698936E+002      2.926863E-003      2.871935E-003      9.146358E-003      2.129223E-003      3.627588E+000
20200104      2458852.0    10464.     -2.280467E-002      4.849620E+002      6.712643E+002      4.860130E+002      6.699226E+002      2.927828E-003      2.814528E-003      9.188399E-003      2.129643E-003      3.644530E+000
20200105      2458853.0     8396.     -2.278999E-002      4.849332E+002      6.712917E+002      4.860326E+002      6.699166E+002      2.927089E-003      2.893585E-003      9.119203E-003      2.134822E-003      3.663974E+000
20200106      2458854.0     1585.     -2.279940E-002      4.848684E+002      6.711613E+002      4.860324E+002      6.699185E+002      2.917380E-003      3.835263E-003      8.462378E-003      2.030832E-003      3.637014E+000
20200107      2458855.0       72.     -2.430198E-002      4.871038E+002      6.733346E+002      4.806760E+002      6.668575E+002      2.835885E-003      1.064441E-002      6.758105E-003      3.135639E-003      2.687330E+000
20200108      2458856.0      319.     -2.274665E-002      4.852878E+002      6.711943E+002      4.860693E+002      6.699966E+002      2.912832E-003      4.182057E-003      8.289344E-003      1.915751E-003      4.002290E+000
20200110      2458858.0      158.     -2.308760E-002      4.849254E+002      6.717069E+002      4.860058E+002      6.699123E+002      2.934185E-003      2.301740E-003      9.650765E-003      1.762138E-003      3.598022E+000
20200111      2458859.0     5448.     -2.281344E-002      4.848540E+002      6.713541E+002      4.860656E+002      6.699464E+002      2.926147E-003      2.971552E-003      9.058866E-003      2.115827E-003      3.639762E+000
20200112      2458860.0     3313.     -2.282254E-002      4.850284E+002      6.711445E+002      4.860180E+002      6.699577E+002      2.921981E-003      3.382473E-003      8.746844E-003      1.873537E-003      3.676998E+000
20200113      2458861.0      350.     -2.281862E-002      4.847633E+002      6.711315E+002      4.860231E+002      6.699823E+002      2.909537E-003      4.748884E-003      7.960129E-003      1.622785E-003      3.764695E+000
20200116      2458864.0     8693.     -2.280536E-002      4.849871E+002      6.713409E+002      4.860265E+002      6.698913E+002      2.926538E-003      2.928790E-003      9.095471E-003      2.110162E-003      3.619982E+000
20200117      2458865.0     1277.     -2.273598E-002      4.850532E+002      6.711757E+002      4.859957E+002      6.699307E+002      2.915514E-003      4.057256E-003      8.319254E-003      2.058146E-003      3.756693E+000
20200119      2458867.0     3386.     -2.281723E-002      4.848954E+002      6.713430E+002      4.860949E+002      6.699495E+002      2.924263E-003      3.146851E-003      8.921491E-003      2.211391E-003      3.686201E+000
20200120      2458868.0     9184.     -2.286421E-002      4.849017E+002      6.712742E+002      4.860959E+002      6.699892E+002      2.929265E-003      2.711466E-003      9.270415E-003      2.165446E-003      3.684830E+000
20200121      2458869.0      594.     -2.280278E-002      4.848827E+002      6.713017E+002      4.860535E+002      6.699890E+002      2.935087E-003      2.240494E-003      9.696839E-003      2.146743E-003      3.627299E+000
20200122      2458870.0     6399.     -2.283161E-002      4.849320E+002      6.712206E+002      4.860669E+002      6.699872E+002      2.922101E-003      3.338848E-003      8.789161E-003      2.001196E-003      3.683908E+000
20200123      2458871.0     8546.     -2.286102E-002      4.850281E+002      6.713157E+002      4.860183E+002      6.699450E+002      2.924816E-003      3.089725E-003      8.970021E-003      2.068721E-003      3.612977E+000
20200126      2458874.0      359.     -2.277666E-002      4.851393E+002      6.712745E+002      4.860125E+002      6.698817E+002      2.902314E-003      5.510046E-003      7.660182E-003      2.376564E-003      3.669835E+000
20200128      2458876.0     6024.     -2.286147E-002      4.849794E+002      6.713107E+002      4.859391E+002      6.697199E+002      2.923820E-003      3.151184E-003      8.925119E-003      2.138375E-003      3.588159E+000
20200129      2458877.0     1185.     -2.269751E-002      4.849161E+002      6.712262E+002      4.859940E+002      6.699865E+002      2.919683E-003      3.672120E-003      8.531465E-003      1.759573E-003      3.796428E+000
