model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -1.235554E-004      2.283709E-005      3.772396E-005      3.296620E-005      1.133721E-004      2.629912E-005
           0.087266                NaN                NaN                NaN      1.125655E-004      3.336892E-005      2.607352E-005
           0.174533                NaN                NaN                NaN      4.830728E-005      2.492759E-005      2.662559E-005
           0.261799                NaN                NaN                NaN     -8.272535E-005      2.143242E-005      2.754583E-005
           0.349066     -1.256879E-004      2.094654E-005      3.872867E-005     -1.836350E-004      2.019701E-005      2.873110E-005
           0.436332                NaN                NaN                NaN     -1.543240E-004      1.880398E-005      3.006069E-005
           0.523599                NaN                NaN                NaN     -8.699784E-005      1.784499E-005      3.140355E-005
           0.610865                NaN                NaN                NaN      2.095872E-005      1.860042E-005      3.262404E-005
           0.698132     -8.970147E-005      1.937714E-005      3.949165E-005      1.071960E-004      1.887851E-005      3.359086E-005
           0.785398                NaN                NaN                NaN      2.193972E-004      1.799744E-005      3.419710E-005
           0.872665                NaN                NaN                NaN      1.308835E-004      2.159627E-005      3.440598E-005
           0.959931                NaN                NaN                NaN      4.388693E-005      2.309686E-005      3.434492E-005
           1.047198      7.547041E-006      2.453950E-005      3.819871E-005     -3.104711E-004      2.869234E-005      3.447311E-005
           1.134464                NaN                NaN                NaN     -4.222483E-004      3.272990E-005      3.578860E-005
           1.221731                NaN                NaN                NaN     -9.198012E-005      4.287725E-005      3.982427E-005
           1.308997                NaN                NaN                NaN      1.458503E-003      6.556518E-005      4.808819E-005
           1.396263      8.029479E-005      2.861371E-005      3.669552E-005      4.030407E-003      1.672346E-004      6.138278E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      7.982861E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      1.032769E-004
           1.745329      2.681447E-004      2.720935E-005      3.610887E-005                NaN                NaN                NaN
           2.094395      1.715959E-004      2.600258E-005      3.631339E-005                NaN                NaN                NaN
           2.443461      1.461621E-004      2.359482E-005      3.696006E-005                NaN                NaN                NaN
           2.792527     -2.087440E-005      2.278698E-005      3.762110E-005                NaN                NaN                NaN
           3.141593     -7.458030E-005      2.148529E-005      3.799679E-005                NaN                NaN                NaN
           3.490659     -1.375789E-004      2.067155E-005      3.813138E-005                NaN                NaN                NaN
           3.839725     -1.175288E-004      2.161336E-005      3.753541E-005                NaN                NaN                NaN
           4.188790     -2.843764E-005      2.182332E-005      3.499434E-005                NaN                NaN                NaN
           4.537856      7.844457E-005      2.113939E-005      3.319564E-005                NaN                NaN                NaN
           4.886922      1.190452E-004      1.929844E-005      3.271458E-005                NaN                NaN                NaN
           5.235988      8.519235E-005      1.818632E-005      3.341630E-005                NaN                NaN                NaN
           5.585054      1.625693E-005      1.663417E-005      3.484561E-005                NaN                NaN                NaN
           5.934120     -6.080348E-005      2.407623E-005      3.641951E-005                NaN                NaN                NaN
           6.283185     -1.235554E-004      2.283709E-005      3.772396E-005                NaN                NaN                NaN
