model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20190110      2458493.0     5448.      3.164673E+000      5.088898E+002      6.749152E+002      5.104060E+002      6.761661E+002      2.945771E-003      2.724970E-003      9.277293E-003      1.094958E-003      6.094909E+000
20190111      2458494.0     2385.      3.164679E+000      5.088636E+002      6.748019E+002      5.104317E+002      6.762299E+002      2.946032E-003      2.728029E-003      9.260857E-003      9.481359E-004      6.055744E+000
20190112      2458495.0      665.      3.164575E+000      5.088287E+002      6.750314E+002      5.105037E+002      6.761007E+002      2.944652E-003      2.760712E-003      9.252822E-003      1.075953E-003      3.387165E-002
20190113      2458496.0     1339.      3.164634E+000      5.089730E+002      6.750339E+002      5.104286E+002      6.761225E+002      2.946323E-003      2.676751E-003      9.319859E-003      1.158786E-003      6.261001E+000
20190114      2458497.0    11216.      3.164649E+000      5.087285E+002      6.748063E+002      5.103679E+002      6.761890E+002      2.950961E-003      2.341268E-003      9.623076E-003      1.066606E-003      4.312754E-002
20190115      2458498.0     5233.      3.164654E+000      5.089081E+002      6.748011E+002      5.104103E+002      6.761371E+002      2.945505E-003      2.763796E-003      9.243959E-003      1.031808E-003      6.180424E+000
20190116      2458499.0      199.      3.164674E+000      5.088754E+002      6.746041E+002      5.104364E+002      6.761544E+002      2.939025E-003      3.160428E-003      8.971538E-003      1.274533E-003      6.247423E+000
20190119      2458502.0      924.      3.164672E+000      5.091566E+002      6.749658E+002      5.104022E+002      6.760580E+002      2.944646E-003      2.808206E-003      9.210099E-003      1.250253E-003      6.211662E+000
20190121      2458504.0      664.      3.164739E+000      5.087741E+002      6.747287E+002      5.103891E+002      6.760764E+002      2.952428E-003      2.209565E-003      9.762591E-003      1.208931E-003      6.025826E+000
20190123      2458506.0      232.      3.164857E+000      5.091024E+002      6.741216E+002      5.103844E+002      6.761286E+002      2.935850E-003      3.576709E-003      8.678094E-003      7.128816E-004      5.779433E+000
20190124      2458507.0     6675.      3.164611E+000      5.087800E+002      6.748126E+002      5.104250E+002      6.761008E+002      2.946591E-003      2.670256E-003      9.323661E-003      1.010082E-003      6.256683E+000
20190125      2458508.0     4054.      3.164727E+000      5.086411E+002      6.746290E+002      5.105099E+002      6.761233E+002      2.939911E-003      3.278639E-003      8.840657E-003      9.080084E-004      6.269267E+000
20190126      2458509.0      858.      3.164682E+000      5.088430E+002      6.748397E+002      5.104391E+002      6.760204E+002      2.933376E-003      4.024100E-003      8.346270E-003      1.179086E-003      1.068783E-001
20190128      2458511.0     2326.      3.164565E+000      5.090697E+002      6.747374E+002      5.104160E+002      6.761091E+002      2.950039E-003      2.485974E-003      9.453077E-003      9.440683E-004      6.003553E+000
20190129      2458512.0     4292.      3.164696E+000      5.088258E+002      6.747712E+002      5.103815E+002      6.760349E+002      2.944190E-003      2.888017E-003      9.141836E-003      1.042536E-003      6.179348E+000
