model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190109      2458492.0        0.      0.    5.00E+000      0.1320      1.2439      0.0029     8.300    -0.300     8.322     8.136     8.179
20190110      2458493.0     5448.      1.    5.00E+000      0.2021      1.1061      0.0029     8.207    -0.283     9.728     9.305     8.721
20190111      2458494.0     2385.      1.    5.00E+000      0.2834      0.9757      0.0029     8.236    -0.275     9.259     8.727     8.245
20190112      2458495.0      665.      1.    5.00E+000      0.3737      0.8580      0.0029     8.191    -0.316     8.201     7.944     7.782
20190113      2458496.0     1339.      1.    5.00E+000      0.4706      0.7612      0.0029     8.279    -0.476     9.339     8.731     7.998
20190114      2458497.0    11216.      1.    5.00E+000      0.5710      0.6800      0.0029     8.230    -0.233    10.069     9.692     9.148
20190115      2458498.0     5233.      1.    5.00E+000      0.6719      0.6020      0.0029     8.174    -0.321     9.595     9.125     8.569
20190116      2458499.0      199.      1.    5.00E+000      0.7685      0.5308      0.0029     8.056    -0.321     8.384     7.957     7.701
20190117      2458500.0        0.      0.    5.00E+000      0.8559      0.4718      0.0029     8.300    -0.300     7.030     6.839     6.704
20190118      2458501.0        0.      0.    5.00E+000      0.9272      0.4319      0.0029     8.300    -0.300     7.126     6.993     7.227
20190119      2458502.0      924.      1.    5.00E+000      0.9765      0.4169      0.0029     8.300    -0.300     8.276     8.074     7.765
20190120      2458503.0        0.      0.    5.00E+000      0.9987      0.4309      0.0029     8.300    -0.300     6.709     6.688     6.926
20190121      2458504.0      664.      1.    5.00E+000      0.9908      0.4733      0.0029     8.300    -0.300     8.265     8.007     7.628
20190122      2458505.0        0.      0.    5.00E+000      0.9531      0.5397      0.0029     8.300    -0.300     7.017     6.888     6.887
20190123      2458506.0      232.      1.    5.00E+000      0.8889      0.6225      0.0029     8.300    -0.300     8.189     7.721     7.464
20190124      2458507.0     6675.      1.    5.00E+000      0.8039      0.7143      0.0029     8.308    -0.346     9.750     9.281     8.537
20190125      2458508.0     4054.      1.    5.00E+000      0.7050      0.8078      0.0029     8.225    -0.389     9.634     9.045     8.160
20190126      2458509.0      858.      1.    5.00E+000      0.5985      0.8975      0.0029     8.172    -0.580     9.352     8.814     7.995
20190127      2458510.0        0.      0.    5.00E+000      0.4911      0.9791      0.0029     8.300    -0.300     7.172     6.987     6.988
20190128      2458511.0     2326.      1.    5.00E+000      0.3873      1.0565      0.0029     8.121    -0.195     9.251     8.684     8.194
20190129      2458512.0     4292.      1.    5.00E+000      0.2913      1.1600      0.0029     8.000    -0.254     9.775     9.366     8.773
