model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -1.087472E-005      3.611738E-005      3.133398E-005      1.482675E-005      9.740330E-005      2.459433E-005
           0.087266                NaN                NaN                NaN      1.337037E-004      4.257805E-005      2.481054E-005
           0.174533                NaN                NaN                NaN      1.897945E-004      2.761502E-005      2.529578E-005
           0.261799                NaN                NaN                NaN      1.624873E-004      2.074794E-005      2.612053E-005
           0.349066     -7.193835E-005      3.196696E-005      3.057824E-005      1.478362E-004      1.929146E-005      2.716386E-005
           0.436332                NaN                NaN                NaN      3.595756E-005      1.909029E-005      2.829200E-005
           0.523599                NaN                NaN                NaN     -2.178929E-006      1.769310E-005      2.937053E-005
           0.610865                NaN                NaN                NaN     -2.819546E-005      1.802106E-005      3.027677E-005
           0.698132     -1.826575E-004      2.462091E-005      2.892891E-005     -7.699295E-005      1.908491E-005      3.091895E-005
           0.785398                NaN                NaN                NaN     -1.122928E-004      1.963214E-005      3.127367E-005
           0.872665                NaN                NaN                NaN     -1.794436E-004      2.138424E-005      3.145777E-005
           0.959931                NaN                NaN                NaN     -9.240604E-005      2.724565E-005      3.184906E-005
           1.047198     -1.788949E-004      2.984672E-005      2.702274E-005      2.423920E-004      3.987613E-005      3.322580E-005
           1.134464                NaN                NaN                NaN      1.040741E-003      7.040965E-005      3.676333E-005
           1.221731                NaN                NaN                NaN      1.827852E-003      1.574116E-004      4.368910E-005
           1.308997                NaN                NaN                NaN      3.003414E-003      3.151573E-004      5.482559E-005
           1.396263     -1.332849E-004      2.102117E-005      2.560656E-005     -6.607772E-004      5.368363E-004      7.051066E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      9.082656E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      1.157868E-004
           1.745329     -3.624629E-005      2.131874E-005      2.529975E-005                NaN                NaN                NaN
           2.094395      6.131073E-005      2.376081E-005      2.644576E-005                NaN                NaN                NaN
           2.443461      1.009963E-004      2.489748E-005      2.824125E-005                NaN                NaN                NaN
           2.792527      1.182361E-004      2.973579E-005      2.995283E-005                NaN                NaN                NaN
           3.141593      8.246828E-005      3.225001E-005      3.127328E-005                NaN                NaN                NaN
           3.490659      5.850492E-005      2.921509E-005      3.155058E-005                NaN                NaN                NaN
           3.839725      6.375866E-005      2.920942E-005      3.081246E-005                NaN                NaN                NaN
           4.188790      7.550177E-005      2.987495E-005      2.943284E-005                NaN                NaN                NaN
           4.537856     -9.536303E-006      3.298411E-005      2.807505E-005                NaN                NaN                NaN
           4.886922      8.022949E-005      3.641542E-005      2.745541E-005                NaN                NaN                NaN
           5.235988      9.386052E-005      2.706383E-005      2.834833E-005                NaN                NaN                NaN
           5.585054      3.198366E-006      2.302897E-005      2.977779E-005                NaN                NaN                NaN
           5.934120     -7.400340E-006      3.166001E-005      3.086039E-005                NaN                NaN                NaN
           6.283185     -1.087472E-005      3.611738E-005      3.133398E-005                NaN                NaN                NaN
