model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20180600      2458269.0      860.      0.    5.00E+000      0.9442      1.1472      0.0029     0.000     0.000     0.069     0.478     0.641
20180601      2458270.0     3860.      1.    5.00E+000      0.8980      1.1424      0.0029     0.011     0.008     0.216     0.397     0.572
20180602      2458271.0     3078.      1.    5.00E+000      0.8342      1.1281      0.0029     0.015     0.011     0.192     0.335     0.469
20180603      2458272.0     2939.      1.    5.00E+000      0.7585      1.1273      0.0029     0.016     0.012     0.176     0.298     0.446
20180604      2458273.0      826.      1.    5.00E+000      0.6731      1.1418      0.0029     0.028     0.022     0.770     0.581     0.452
20180605      2458274.0     3170.      1.    5.00E+000      0.5801      1.1718      0.0029     0.015     0.011     0.436     0.361     0.400
20180606      2458275.0      259.      1.    5.00E+000      0.4822      1.2152      0.0029     0.034     0.019     0.407     0.478     0.398
20180607      2458276.0      120.      1.    5.00E+000      0.3822      1.2758      0.0029     0.079     0.046     1.092     0.913     0.665
20180608      2458277.0     3147.      1.    5.00E+000      0.2843      1.3489      0.0029     0.012     0.008     0.329     0.333     0.339
20180609      2458278.0     6266.      1.    5.00E+000      0.1929      1.4331      0.0029     0.008     0.006     0.187     0.272     0.335
20180610      2458279.0     6300.      1.    5.00E+000      0.1131      1.5239      0.0029     0.009     0.006     0.201     0.268     0.324
20180611      2458280.0     1052.      1.    5.00E+000      0.0510      1.6073      0.0029     0.023     0.014     0.371     0.381     0.302
20180612      2458281.0     2365.      1.    5.00E+000      0.0123      1.7350      0.0029     0.013     0.008     0.663     0.568     0.388
20180613      2458282.0        0.      0.    5.00E+000      0.0013      1.8058      0.0029     0.000     0.000     0.399     0.480     0.327
20180614      2458283.0      825.      0.    5.00E+000      0.0202      1.6279      0.0029     0.000     0.000     0.901     0.751     0.395
20180615      2458284.0      944.      0.    5.00E+000      0.0682      1.4928      0.0029     0.000     0.000     0.642     0.511     0.346
20180616      2458285.0     3072.      1.    5.00E+000      0.1413      1.3486      0.0029     0.010     0.006     0.580     0.470     0.340
20180617      2458286.0     3444.      1.    5.00E+000      0.2335      1.2149      0.0029     0.010     0.006     0.441     0.398     0.365
20180618      2458287.0     2239.      1.    5.00E+000      0.3380      1.1012      0.0029     0.013     0.009     0.777     0.549     0.341
20180619      2458288.0     5836.      0.    5.00E+000      0.4483      1.0118      0.0029     0.000     0.000     0.351     0.395     0.406
20180620      2458289.0     6620.      0.    5.00E+000      0.5573      0.9564      0.0029     0.000     0.000     0.278     0.377     0.450
20180621      2458290.0      348.      0.    5.00E+000      0.6609      0.9322      0.0029     0.000     0.000     0.853     0.547     0.373
20180622      2458291.0     1933.      0.    5.00E+000      0.7551      0.9426      0.0029     0.000     0.000     0.944     0.760     0.475
20180623      2458292.0     4476.      1.    5.00E+000      0.8365      0.9812      0.0029     0.010     0.007     0.335     0.453     0.545
20180624      2458293.0      762.      1.    5.00E+000      0.9030      1.0401      0.0029     0.028     0.022     0.495     0.448     0.445
20180625      2458294.0     3076.      0.    5.00E+000      0.9529      1.0906      0.0029     0.000     0.000     0.803     0.594     0.486
20180626      2458295.0     2661.      0.    5.00E+000      0.9850      1.1263      0.0029     0.000     0.000     0.742     0.627     0.607
20180627      2458296.0     3479.      1.    5.00E+000      0.9989      1.1454      0.0029     0.010     0.007     0.200     0.399     0.656
20180628      2458297.0      745.      0.    5.00E+000      0.9944      1.1470      0.0029     0.000     0.000     0.758     0.582     0.418
20180629      2458298.0     2407.      0.    5.00E+000      0.9722      1.1315      0.0029     0.000     0.000     0.430     0.519     0.632
20180630      2458299.0     1614.      0.    5.00E+000      0.9355      1.1653      0.0029     0.000     0.000     0.358     0.402     0.508
