model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20200100      2458848.0     7540.      1.455131E-005      4.760228E-002      5.979921E-002      1.892341E-002      2.430075E-002      2.694487E-007      1.981174E-006      3.949550E-006      2.080519E-005      2.692126E-002
20200101      2458849.0    18021.      9.631874E-006      3.174368E-002      3.909397E-002      1.139318E-002      1.480265E-002      1.768863E-007      1.376549E-006      2.707578E-006      1.262428E-005      1.763308E-002
20200102      2458850.0    12467.      1.148120E-005      3.865811E-002      4.701574E-002      1.333217E-002      1.743014E-002      2.120597E-007      1.829874E-006      3.359275E-006      1.688054E-005      2.430244E-002
20200103      2458851.0    10662.      1.239245E-005      4.054793E-002      5.055326E-002      1.545972E-002      2.015087E-002      2.284979E-007      1.731171E-006      3.340884E-006      1.472986E-005      2.275547E-002
20200104      2458852.0    14017.      1.052758E-005      3.496995E-002      4.309461E-002      1.261243E-002      1.626393E-002      1.972204E-007      1.529817E-006      2.976328E-006      1.408364E-005      2.017337E-002
20200105      2458853.0     1598.      2.699599E-005      1.036541E-001      1.330144E-001      6.301914E-002      8.028361E-002      6.005196E-007      2.102412E-006      7.293359E-006      3.454860E-005      2.679045E-002
20200106      2458854.0     8797.      1.334090E-005      4.458306E-002      5.540647E-002      1.593947E-002      2.109361E-002      2.540833E-007      1.970607E-006      3.828185E-006      1.789659E-005      2.473338E-002
20200107      2458855.0     6472.      1.536614E-005      5.193311E-002      6.435530E-002      1.812350E-002      2.366480E-002      2.928424E-007      2.323006E-006      4.477180E-006      1.825584E-005      3.192033E-002
20200109      2458857.0      854.      4.130983E-005      1.523836E-001      1.847616E-001      4.843769E-002      6.204557E-002      7.757620E-007      6.671912E-006      1.335738E-005      3.790725E-005      5.882781E-002
20200110      2458858.0       99.      1.171791E-004      4.505511E-001      5.322847E-001      1.397797E-001      1.705928E-001      2.128798E-006      2.488892E-005      3.893694E-005      5.771769E-005      3.931127E-002
20200111      2458859.0     1867.      3.621791E-005      1.304659E-001      1.567641E-001      3.949668E-002      5.084894E-002      7.177158E-007      6.258125E-006      1.155676E-005      4.857941E-005      7.960931E-002
20200112      2458860.0     4380.      1.882967E-005      6.451846E-002      8.032221E-002      2.060183E-002      2.707930E-002      3.712272E-007      3.296687E-006      5.960804E-006      2.507959E-005      3.979592E-002
20200113      2458861.0     4967.      3.100303E-005      1.029128E-001      1.220294E-001      3.473385E-002      4.439540E-002      6.097408E-007      4.625231E-006      9.243368E-006      3.877909E-005      6.142988E-002
20200114      2458862.0     4651.      1.734459E-005      6.482816E-002      8.386097E-002      3.186960E-002      4.652112E-002      3.829668E-007      1.835098E-006      5.029826E-006      2.122317E-005      2.085438E-002
20200115      2458863.0     8417.      1.291950E-005      4.571248E-002      5.636862E-002      1.922488E-002      2.600359E-002      2.504508E-007      1.667829E-006      3.687141E-006      1.853185E-005      2.428350E-002
20200116      2458864.0    13267.      1.113544E-005      3.712837E-002      4.518485E-002      1.305258E-002      1.701463E-002      2.041850E-007      1.655510E-006      3.216939E-006      1.441954E-005      1.905778E-002
20200117      2458865.0       83.      1.679426E-004      4.994708E-001      5.708249E-001      2.615454E-001      3.284421E-001      3.532367E-006      1.231380E-005      4.260064E-005      4.969484E-005      1.066821E-001
20200119      2458867.0     3452.      2.284363E-005      7.082911E-002      9.063500E-002      2.473793E-002      3.160895E-002      4.104209E-007      3.451068E-006      6.021368E-006      2.861306E-005      4.349807E-002
20200120      2458868.0    15877.      1.021591E-005      3.371018E-002      4.142296E-002      1.229412E-002      1.597687E-002      1.866992E-007      1.486854E-006      2.887536E-006      1.310297E-005      1.964094E-002
20200121      2458869.0     3315.      2.367617E-005      7.617265E-002      9.416485E-002      2.315131E-002      3.024170E-002      4.264505E-007      4.226765E-006      7.030832E-006      2.550556E-005      4.657043E-002
20200122      2458870.0    18370.      9.446497E-006      3.104599E-002      3.808135E-002      1.149989E-002      1.492481E-002      1.736600E-007      1.340592E-006      2.609475E-006      1.267925E-005      1.739967E-002
20200123      2458871.0    17517.      9.690999E-006      3.201603E-002      3.904523E-002      1.165055E-002      1.507322E-002      1.777051E-007      1.401992E-006      2.732912E-006      1.176600E-005      1.813725E-002
20200124      2458872.0      599.      5.627422E-005      1.944873E-001      2.425459E-001      4.758747E-002      6.452264E-002      1.062120E-006      2.166953E-005      2.079662E-005      4.493642E-005      9.529641E-002
20200126      2458874.0     2739.      4.178930E-005      1.139579E-001      1.420618E-001      4.747745E-002      5.941553E-002      5.952478E-007      5.085439E-006      8.784131E-006      4.325404E-005      7.443364E-002
