model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      6.918501E-012     -1.985545E-010      1.207805E-009      1.594378E-010     -5.780452E-010      1.055848E-016      4.731860E-016     -1.433625E-015      9.684205E-014      1.142010E-010
     -1.985545E-010      7.451640E-005     -4.596255E-006     -1.686294E-005      4.042473E-007     -1.597139E-013     -3.991020E-012      1.717282E-010     -4.753765E-010      5.255906E-006
      1.207805E-009     -4.596255E-006      1.124723E-004      3.862213E-007     -2.814012E-005      6.050210E-012      3.771401E-011     -7.176265E-011     -2.496719E-009     -2.488948E-006
      1.594378E-010     -1.686294E-005      3.862213E-007      9.175029E-006     -5.983188E-008     -5.822904E-012     -1.695200E-011      4.607696E-011     -6.727704E-010      3.152371E-006
     -5.780452E-010      4.042473E-007     -2.814012E-005     -5.983188E-008      1.551080E-005     -6.904708E-012     -7.993436E-012      5.862855E-011     -2.708922E-009     -1.330598E-006
      1.055848E-016     -1.597139E-013      6.050210E-012     -5.822904E-012     -6.904708E-012      2.308960E-015     -1.247820E-015     -1.704766E-014     -8.625367E-015      1.662324E-011
      4.731860E-016     -3.991020E-012      3.771401E-011     -1.695200E-011     -7.993436E-012     -1.247820E-015      1.557998E-013     -2.291488E-013      4.221325E-014     -8.939950E-011
     -1.433625E-015      1.717282E-010     -7.176265E-011      4.607696E-011      5.862855E-011     -1.704766E-014     -2.291488E-013      5.591747E-013      5.157430E-014     -9.093670E-011
      9.684205E-014     -4.753765E-010     -2.496719E-009     -6.727704E-010     -2.708922E-009     -8.625367E-015      4.221325E-014      5.157430E-014      1.272613E-011     -1.519567E-009
      1.142010E-010      5.255906E-006     -2.488948E-006      3.152371E-006     -1.330598E-006      1.662324E-011     -8.939950E-011     -9.093670E-011     -1.519567E-009      2.849913E-005
