model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181200      2458452.0     4573.      1.993635E-005      6.824381E-002      8.578898E-002      2.153795E-002      2.953269E-002      3.586098E-007      4.012350E-006      6.222652E-006      2.313816E-005      4.481936E-002
20181201      2458453.0     6620.      1.597451E-005      5.531375E-002      6.811818E-002      1.791661E-002      2.321218E-002      2.914115E-007      2.932441E-006      4.968341E-006      1.988749E-005      3.882618E-002
20181202      2458454.0     2749.      2.651872E-005      9.033290E-002      1.136903E-001      2.675977E-002      3.496057E-002      4.617995E-007      5.713770E-006      8.056514E-006      2.643502E-005      7.467433E-002
20181203      2458455.0     5655.      1.694640E-005      5.510162E-002      6.853627E-002      2.562559E-002      3.297243E-002      3.241206E-007      1.776208E-006      4.166250E-006      1.819414E-005      2.744176E-002
20181204      2458456.0    22338.      8.727568E-006      2.868252E-002      3.516744E-002      1.036411E-002      1.344976E-002      1.605811E-007      1.280149E-006      2.439686E-006      1.223430E-005      1.841276E-002
20181206      2458458.0     1725.      3.466028E-005      1.079268E-001      1.346798E-001      3.553585E-002      4.445995E-002      5.939679E-007      5.458956E-006      1.008910E-005      4.057333E-005      7.447951E-002
20181207      2458459.0      250.      1.126026E-004      3.653714E-001      4.721977E-001      9.559955E-002      1.227961E-001      2.112923E-006      1.130588E-004      3.228974E-005      1.056144E-004      1.465162E-001
20181208      2458460.0    23016.      8.581458E-006      2.771830E-002      3.422144E-002      1.026090E-002      1.340544E-002      1.572327E-007      1.170589E-006      2.348768E-006      1.103160E-005      1.388668E-002
20181209      2458461.0    19901.      9.141956E-006      3.027436E-002      3.718014E-002      1.101364E-002      1.429092E-002      1.703778E-007      1.359173E-006      2.578204E-006      1.284698E-005      2.023548E-002
20181210      2458462.0    21147.      8.792665E-006      2.917760E-002      3.581902E-002      1.042630E-002      1.351657E-002      1.633634E-007      1.304776E-006      2.516768E-006      1.177781E-005      1.785844E-002
20181211      2458463.0    20738.      8.820423E-006      2.943950E-002      3.611282E-002      1.044240E-002      1.357926E-002      1.642783E-007      1.332956E-006      2.535289E-006      1.108915E-005      1.906054E-002
20181212      2458464.0    20364.      8.988052E-006      2.997174E-002      3.678055E-002      1.062270E-002      1.374778E-002      1.657903E-007      1.368579E-006      2.591139E-006      1.173738E-005      1.904250E-002
20181213      2458465.0     2056.      4.299606E-005      1.185106E-001      1.483789E-001      6.320002E-002      8.187972E-002      7.986230E-007      2.710688E-006      9.233268E-006      4.505102E-005      3.291455E-002
20181214      2458466.0     1137.      6.607419E-005      1.914682E-001      2.331334E-001      1.167215E-001      1.478022E-001      1.389764E-006      3.225786E-006      1.534824E-005      6.916613E-005      5.628046E-002
20181215      2458467.0     9823.      1.283204E-005      4.429299E-002      5.366448E-002      1.382877E-002      1.812122E-002      2.393553E-007      2.171474E-006      3.878288E-006      1.786119E-005      2.854232E-002
20181216      2458468.0      121.      1.108835E-004      4.131217E-001      5.458491E-001      1.510313E-001      2.061956E-001      1.903505E-006      1.846062E-005      3.539702E-005      3.793964E-005      2.797557E-001
20181217      2458469.0    11614.      1.118195E-005      3.789821E-002      4.718051E-002      1.452190E-002      1.877101E-002      2.146730E-007      1.670931E-006      3.213340E-006      1.419844E-005      2.089960E-002
20181218      2458470.0     2755.      2.353347E-005      8.397646E-002      1.101079E-001      2.406029E-002      3.176385E-002      4.479244E-007      5.390981E-006      8.460172E-006      3.100028E-005      5.799771E-002
20181220      2458472.0     1830.      3.144147E-004      4.203546E-001      5.634792E-001      1.843245E-001      1.984214E-001      2.857871E-006      1.145101E-004      3.886836E-005      2.251609E-004      1.775027E-001
20181221      2458473.0      138.      8.064149E-004      1.798617E+000      2.625674E+000      4.189354E-001      5.885262E-001      8.979110E-006      5.684226E-004      1.927851E-004      3.121058E-004      2.930844E-001
20181222      2458474.0      151.      8.587392E-005      3.300112E-001      3.898117E-001      1.032319E-001      1.310226E-001      1.722877E-006      1.526083E-005      3.353924E-005      7.022184E-005      8.236182E-002
20181223      2458475.0       49.      1.632798E-004      6.963488E-001      1.036968E+000      1.972416E-001      2.833741E-001      3.531444E-006      8.489194E-005      9.433870E-005      6.766366E-005      1.582807E-001
20181224      2458476.0     6335.      1.529238E-005      5.368920E-002      6.527033E-002      1.672137E-002      2.191363E-002      2.906709E-007      2.568425E-006      4.834638E-006      1.980378E-005      3.977441E-002
20181225      2458477.0     8627.      1.385807E-005      4.685928E-002      5.758972E-002      1.516756E-002      1.977533E-002      2.587029E-007      2.362499E-006      4.113800E-006      1.751946E-005      3.348518E-002
