model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181200      2458452.0     4573.      1.    5.00E+000      0.3785      0.7211      0.0029     0.005     0.003     0.481     0.600     0.610
20181201      2458453.0     6620.      1.    5.00E+000      0.2905      0.8662      0.0029     0.005     0.003     0.297     0.382     0.577
20181202      2458454.0     2749.      1.    5.00E+000      0.1971      1.0302      0.0029     0.008     0.005     0.429     0.459     0.581
20181203      2458455.0     5655.      1.    5.00E+000      0.1192      1.2022      0.0029     0.004     0.002     0.625     0.659     0.758
20181204      2458456.0    22338.      1.    5.00E+000      0.0598      1.3775      0.0029     0.002     0.001     0.233     0.286     0.391
20181205      2458457.0        0.      0.    5.00E+000      0.0207      1.5487      0.0029     0.000     0.000     0.336     0.332     0.307
20181206      2458458.0     1725.      1.    5.00E+000      0.0025      1.6965      0.0029     0.009     0.005     0.416     0.483     0.576
20181207      2458459.0      250.      1.    5.00E+000      0.0053      1.6606      0.0029     0.036     0.026     0.433     0.520     0.648
20181208      2458460.0    23016.      1.    5.00E+000      0.0275      1.5460      0.0029     0.002     0.001     0.351     0.424     0.521
20181209      2458461.0    19901.      1.    5.00E+000      0.0674      1.4371      0.0029     0.002     0.001     0.536     0.526     0.601
20181210      2458462.0    21147.      1.    5.00E+000      0.1228      1.3272      0.0029     0.002     0.001     0.286     0.347     0.451
20181211      2458463.0    20738.      1.    5.00E+000      0.1913      1.2225      0.0029     0.002     0.001     0.277     0.341     0.444
20181212      2458464.0    20364.      1.    5.00E+000      0.2703      1.1256      0.0029     0.002     0.001     0.263     0.325     0.427
20181213      2458465.0     2056.      1.    5.00E+000      0.3576      1.0409      0.0029     0.012     0.004     0.378     0.436     0.497
20181214      2458466.0     1137.      1.    5.00E+000      0.4507      0.9699      0.0029     0.015     0.005     0.560     0.557     0.530
20181215      2458467.0     9823.      1.    5.00E+000      0.5470      0.8954      0.0029     0.003     0.002     0.344     0.402     0.491
20181216      2458468.0      121.      1.    5.00E+000      0.6437      0.8154      0.0029     0.060     0.040     0.556     0.478     0.517
20181217      2458469.0    11614.      1.    5.00E+000      0.7374      0.7326      0.0029     0.003     0.001     0.813     0.928     0.758
20181218      2458470.0     2755.      1.    5.00E+000      0.8238      0.6502      0.0029     0.006     0.004     0.347     0.736     0.569
20181219      2458471.0        0.      0.    5.00E+000      0.8984      0.5727      0.0029     0.000     0.000     0.623     0.685     0.696
20181220      2458472.0     1830.      1.    5.00E+000      0.9558      0.5052      0.0029     0.016     0.005     1.004     1.034     0.875
20181221      2458473.0      138.      1.    5.00E+000      0.9905      0.4550      0.0029     0.114     0.069     0.678     0.745     0.573
20181222      2458474.0      151.      1.    5.00E+000      0.9986      0.4278      0.0029     0.038     0.023     0.470     0.487     0.370
20181223      2458475.0       49.      1.    5.00E+000      0.9781      0.4286      0.0029     0.074     0.049     0.691     0.697     0.527
20181224      2458476.0     6335.      1.    5.00E+000      0.9293      0.4577      0.0029     0.003     0.002     0.791     0.843     0.638
20181225      2458477.0     8627.      1.    5.00E+000      0.8562      0.5115      0.0029     0.003     0.002     0.967     0.932     0.800
20181226      2458478.0    15705.      1.    5.00E+000      0.7640      0.5844      0.0029     0.002     0.001     0.497     0.644     0.569
20181227      2458479.0     7948.      1.    5.00E+000      0.6593      0.6687      0.0029     0.004     0.002     0.739     0.833     0.672
20181228      2458480.0    17408.      1.    5.00E+000      0.5488      0.7586      0.0029     0.002     0.001     0.263     0.457     0.408
20181229      2458481.0     8448.      1.    5.00E+000      0.4386      0.8482      0.0029     0.004     0.002     0.420     0.506     0.610
20181230      2458482.0    16346.      1.    5.00E+000      0.3339      0.9526      0.0029     0.002     0.001     0.252     0.333     0.484
20181231      2458483.0    12442.      1.    5.00E+000      0.2499      1.9590      0.0029     0.002     0.001     0.199     0.258     0.357
