model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190500      2458603.0     2972.      1.    5.00E+000      0.1477      1.5600      0.0028     8.084    -0.244    11.228    10.851    10.019
20190501      2458604.0     4681.      1.    5.00E+000      0.0913      1.6103      0.0028     8.400    -0.446    11.070    10.647     9.890
20190502      2458605.0        0.      0.    5.00E+000      0.0432      1.7285      0.0028     8.300    -0.300     9.924     9.794     9.209
20190503      2458606.0       26.      1.    5.00E+000      0.0124      1.7900      0.0028     8.503    -0.094     9.045     8.992     9.238
20190504      2458607.0        0.      0.    5.00E+000      0.0017      1.8191      0.0028     8.300    -0.300     8.638     8.845     9.049
20190505      2458608.0        0.      0.    5.00E+000      0.0129      1.6606      0.0028     8.300    -0.300    10.084    10.176     9.913
20190506      2458609.0     8653.      1.    5.00E+000      0.0468      1.4819      0.0028     8.300    -0.300    11.403    10.953    10.103
20190507      2458610.0        0.      0.    5.00E+000      0.1028      1.3033      0.0028     8.300    -0.300     8.562     8.931     9.461
20190508      2458611.0        0.      0.    5.00E+000      0.1789      1.1289      0.0028     8.300    -0.300     8.715     8.576     8.865
20190509      2458612.0       71.      1.    5.00E+000      0.2722      0.9609      0.0028     8.379    -0.578     9.292     9.401     9.591
20190510      2458613.0       32.      0.    5.00E+000      0.3780      0.8133      0.0028     8.300    -0.300     8.941     9.020     9.496
20190511      2458614.0     1362.      1.    5.00E+000      0.4916      0.7279      0.0028     8.711    -0.198     8.896     9.173     9.384
20190512      2458615.0        0.      0.    5.00E+000      0.6057      0.6619      0.0028     8.300    -0.300     9.626     9.842     9.874
20190513      2458616.0     2401.      1.    5.00E+000      0.7146      0.6654      0.0028     8.199    -0.203    10.630     9.783     9.752
20190514      2458617.0      512.      1.    5.00E+000      0.8119      0.7363      0.0028     8.300    -0.300     9.549     9.584     9.624
20190515      2458618.0        0.      0.    5.00E+000      0.8927      0.8330      0.0028     8.300    -0.300     8.383     8.546     9.184
20190516      2458619.0      130.      1.    5.00E+000      0.9522      0.9278      0.0028     8.740    -0.194     8.603     8.849     9.126
20190517      2458620.0        0.      0.    5.00E+000      0.9879      1.0148      0.0028     8.300    -0.300     9.025     8.802     9.042
20190518      2458621.0        0.      0.    5.00E+000      0.9987      1.0889      0.0028     8.300    -0.300     8.988     9.133     9.236
20190519      2458622.0        0.      0.    5.00E+000      0.9855      1.1455      0.0028     8.300    -0.300     8.388     8.486     8.909
20190520      2458623.0      590.      1.    5.00E+000      0.9506      1.1815      0.0028     8.775    -0.196     9.229     8.968     8.893
20190521      2458624.0        0.      0.    5.00E+000      0.8973      1.1959      0.0028     8.300    -0.300     9.534     9.459     9.506
20190522      2458625.0     4429.      1.    5.00E+000      0.8294      1.1963      0.0028     8.883    -0.139    10.284     9.667     9.310
20190523      2458626.0     1644.      1.    5.00E+000      0.7499      1.2069      0.0028     7.878    -0.032    10.801    10.047     9.781
20190524      2458627.0      291.      1.    5.00E+000      0.6622      1.2300      0.0028     8.608    -0.855    10.421    10.206     9.742
20190525      2458628.0      153.      1.    5.00E+000      0.5698      1.2622      0.0028     8.767    -0.200     9.804     9.755     9.697
20190526      2458629.0        0.      0.    5.00E+000      0.4753      1.3068      0.0028     8.300    -0.300    10.260    10.219     9.864
20190527      2458630.0      497.      1.    5.00E+000      0.3813      1.3560      0.0028     8.744    -0.190    10.286    10.197     9.885
20190528      2458631.0      269.      1.    5.00E+000      0.2906      1.4139      0.0028     8.687    -0.198     9.461     9.599     9.534
20190529      2458632.0      116.      0.    5.00E+000      0.2062      1.4760      0.0028     8.300    -0.300    10.681    10.573     9.996
20190530      2458633.0     3306.      1.    5.00E+000      0.1316      1.5427      0.0028     8.597    -0.067    10.475    10.125     9.585
20190531      2458634.0     2111.      1.    5.00E+000      0.0731      1.9763      0.0028     8.300    -0.300    10.930    10.537     9.801
